date,zcta,at_least_one_dose,fully_vaccinated
2021-10-01,90001,46556,34185
2021-10-05,90001,47087,34597
2021-10-12,90001,47525,34940
2021-10-19,90001,47909,35319
2021-10-26,90001,48237,35698
2021-11-02,90001,48618,36158
2021-11-09,90001,49136,36590
2021-11-16,90001,49736,36925
2021-11-23,90001,50435,37234
2021-11-30,90001,50864,37580
2021-12-07,90001,51423,38181
2021-12-14,90001,51893,38758
2021-12-21,90001,52281,39188
2021-12-28,90001,52614,39527
2021-10-01,90002,30419,26136
2021-10-05,90002,30793,26483
2021-10-12,90002,31267,26826
2021-10-19,90002,31642,27167
2021-10-26,90002,31928,27474
2021-11-02,90002,32280,27883
2021-11-09,90002,32920,28313
2021-11-16,90002,33492,28610
2021-11-23,90002,34080,28912
2021-11-30,90002,34429,29263
2021-12-07,90002,34957,29925
2021-12-14,90002,35377,30436
2021-12-21,90002,35747,30778
2021-12-28,90002,36065,31106
2021-10-01,90003,42359,35854
2021-10-05,90003,43015,36365
2021-10-12,90003,43658,36814
2021-10-19,90003,44234,37282
2021-10-26,90003,44666,37776
2021-11-02,90003,45119,38307
2021-11-09,90003,45934,38946
2021-11-16,90003,46764,39405
2021-11-23,90003,47681,39842
2021-11-30,90003,48147,40279
2021-12-07,90003,48883,41088
2021-12-14,90003,49574,41909
2021-12-21,90003,50089,42402
2021-12-28,90003,50474,42826
2021-10-01,90004,43600,39423
2021-10-05,90004,43862,39669
2021-10-12,90004,44184,39895
2021-10-19,90004,44456,40156
2021-10-26,90004,44707,40412
2021-11-02,90004,44984,40690
2021-11-09,90004,45594,41012
2021-11-16,90004,46295,41332
2021-11-23,90004,46864,41597
2021-11-30,90004,47213,41935
2021-12-07,90004,47738,42579
2021-12-14,90004,48108,43122
2021-12-21,90004,48529,43460
2021-12-28,90004,48807,43740
2021-10-01,90005,27594,24362
2021-10-05,90005,27763,24538
2021-10-12,90005,27971,24719
2021-10-19,90005,28180,24881
2021-10-26,90005,28358,25058
2021-11-02,90005,28564,25270
2021-11-09,90005,28947,25502
2021-11-16,90005,29362,25700
2021-11-23,90005,29723,25884
2021-11-30,90005,29920,26059
2021-12-07,90005,30331,26478
2021-12-14,90005,30620,26816
2021-12-21,90005,30858,27053
2021-12-28,90005,31056,27221
2021-10-01,90006,40421,35087
2021-10-05,90006,40755,35392
2021-10-12,90006,41092,35669
2021-10-19,90006,41397,36005
2021-10-26,90006,41715,36299
2021-11-02,90006,42069,36646
2021-11-09,90006,42652,37038
2021-11-16,90006,43324,37388
2021-11-23,90006,43894,37680
2021-11-30,90006,44232,38013
2021-12-07,90006,44848,38579
2021-12-14,90006,45345,39090
2021-12-21,90006,45746,39457
2021-12-28,90006,46041,39754
2021-10-01,90007,32928,29298
2021-10-05,90007,33169,29521
2021-10-12,90007,33390,29728
2021-10-19,90007,33571,29943
2021-10-26,90007,33777,30149
2021-11-02,90007,33992,30355
2021-11-09,90007,34312,30566
2021-11-16,90007,34656,30796
2021-11-23,90007,35015,31038
2021-11-30,90007,35185,31233
2021-12-07,90007,35520,31578
2021-12-14,90007,35817,31922
2021-12-21,90007,36139,32206
2021-12-28,90007,36388,32411
2021-10-01,90008,19448,17271
2021-10-05,90008,19646,17474
2021-10-12,90008,19877,17651
2021-10-19,90008,20053,17833
2021-10-26,90008,20216,18002
2021-11-02,90008,20374,18225
2021-11-09,90008,20632,18433
2021-11-16,90008,20935,18609
2021-11-23,90008,21264,18766
2021-11-30,90008,21436,18958
2021-12-07,90008,21658,19232
2021-12-14,90008,21860,19542
2021-12-21,90008,22055,19721
2021-12-28,90008,22182,19849
2021-10-01,90010,4217,3726
2021-10-05,90010,4243,3758
2021-10-12,90010,4266,3777
2021-10-19,90010,4288,3794
2021-10-26,90010,4319,3826
2021-11-02,90010,4348,3849
2021-11-09,90010,4392,3873
2021-11-16,90010,4442,3889
2021-11-23,90010,4503,3925
2021-11-30,90010,4523,3946
2021-12-07,90010,4560,3985
2021-12-14,90010,4590,4018
2021-12-21,90010,4643,4040
2021-12-28,90010,4678,4057
2021-10-01,90011,65940,53508
2021-10-05,90011,66628,54118
2021-10-12,90011,67371,54669
2021-10-19,90011,68056,55270
2021-10-26,90011,68603,55832
2021-11-02,90011,69125,56420
2021-11-09,90011,70097,57150
2021-11-16,90011,71345,57691
2021-11-23,90011,72386,58164
2021-11-30,90011,72962,58673
2021-12-07,90011,73895,59783
2021-12-14,90011,74763,60829
2021-12-21,90011,75570,61489
2021-12-28,90011,76067,61944
2021-10-01,90012,30365,26987
2021-10-05,90012,30586,27210
2021-10-12,90012,30788,27356
2021-10-19,90012,30997,27537
2021-10-26,90012,31182,27725
2021-11-02,90012,31407,27946
