date,zcta,at_least_one_dose,fully_vaccinated
2021-01-12,90001,508,70
2021-01-19,90001,814,103
2021-01-26,90001,1529,153
2021-02-02,90001,2222,262
2021-02-09,90001,3266,515
2021-02-16,90001,4189,957
2021-02-23,90001,5372,1499
2021-03-02,90001,7293,2190
2021-03-09,90001,9697,3013
2021-03-16,90001,12733,4222
2021-03-23,90001,15793,5524
2021-03-30,90001,18887,7030
2021-01-12,90002,448,72
2021-01-19,90002,651,108
2021-01-26,90002,959,171
2021-02-02,90002,1361,277
2021-02-09,90002,1886,480
2021-02-16,90002,2423,696
2021-02-23,90002,2875,1003
2021-03-02,90002,3745,1409
2021-03-09,90002,4802,1894
2021-03-16,90002,6283,2575
2021-03-23,90002,7891,3344
2021-03-30,90002,9409,4328
2021-01-12,90003,552,95
2021-01-19,90003,872,156
2021-01-26,90003,1401,231
2021-02-02,90003,1907,344
2021-02-09,90003,2663,609
2021-02-16,90003,3296,1017
2021-02-23,90003,3864,1386
2021-03-02,90003,5027,1948
2021-03-09,90003,6500,2614
2021-03-16,90003,8485,3515
2021-03-23,90003,10623,4467
2021-03-30,90003,12741,5887
2021-01-05,90004,913,19
2021-01-12,90004,1488,323
2021-01-19,90004,2354,504
2021-01-26,90004,3882,704
2021-02-02,90004,5227,1008
2021-02-09,90004,6593,1732
2021-02-16,90004,7471,2734
2021-02-23,90004,8354,3928
2021-03-02,90004,9825,5250
2021-03-09,90004,11930,6549
2021-03-16,90004,14640,7919
2021-03-23,90004,17321,9125
2021-03-30,90004,19899,10958
2021-01-05,90005,441,19
2021-01-12,90005,718,151
2021-01-19,90005,1081,239
2021-01-26,90005,1773,327
2021-02-02,90005,2609,480
2021-02-09,90005,3393,787
2021-02-16,90005,3841,1186
2021-02-23,90005,4273,1720
2021-03-02,90005,5128,2633
2021-03-09,90005,6422,3214
2021-03-16,90005,7922,3935
2021-03-23,90005,9587,4670
2021-03-30,90005,11111,5663
2021-01-12,90006,1029,118
2021-01-19,90006,1582,204
2021-01-26,90006,2498,352
2021-02-02,90006,3585,564
2021-02-09,90006,4607,962
2021-02-16,90006,5418,1609
2021-02-23,90006,6168,2349
2021-03-02,90006,7443,3395
2021-03-09,90006,9131,4330
2021-03-16,90006,11249,5475
2021-03-23,90006,13503,6582
2021-03-30,90006,15481,7982
2021-01-12,90007,554,67
2021-01-19,90007,900,123
2021-01-26,90007,1380,199
2021-02-02,90007,1912,379
2021-02-09,90007,2592,667
2021-02-16,90007,3038,1035
2021-02-23,90007,3477,1411
2021-03-02,90007,4319,2024
2021-03-09,90007,6139,2550
2021-03-16,90007,8426,3507
2021-03-23,90007,10305,4265
2021-03-30,90007,12000,5693
2021-01-05,90008,316,13
2021-01-12,90008,523,91
2021-01-19,90008,839,159
2021-01-26,90008,1375,250
2021-02-02,90008,2091,373
2021-02-09,90008,2922,624
2021-02-16,90008,3549,1023
2021-02-23,90008,4139,1489
2021-03-02,90008,4917,2252
2021-03-09,90008,5890,3045
2021-03-16,90008,7138,3940
2021-03-23,90008,8335,4785
2021-03-30,90008,9462,5752
2021-01-12,90010,156,44
2021-01-19,90010,231,56
2021-01-26,90010,378,83
2021-02-02,90010,508,107
2021-02-09,90010,629,166
2021-02-16,90010,723,247
2021-02-23,90010,790,354
2021-03-02,90010,890,492
2021-03-09,90010,1061,614
2021-03-16,90010,1311,764
2021-03-23,90010,1552,850
2021-03-30,90010,1793,1007
2021-01-05,90011,547,12
2021-01-12,90011,959,121
2021-01-19,90011,1460,189
2021-01-26,90011,2270,313
2021-02-02,90011,3137,544
2021-02-09,90011,4323,957
2021-02-16,90011,5352,1585
2021-02-23,90011,6321,2160
2021-03-02,90011,7910,3071
2021-03-09,90011,10464,4155
2021-03-16,90011,13622,5544
2021-03-23,90011,17013,6895
2021-03-30,90011,20763,8974
2021-01-05,90012,543,17
2021-01-12,90012,788,211
2021-01-19,90012,1274,302
2021-01-26,90012,2011,440
2021-02-02,90012,2713,582
2021-02-09,90012,3859,842
2021-02-16,90012,4328,1252
2021-02-23,90012,4821,1878
2021-03-02,90012,6295,2879
2021-03-09,90012,7601,3662
2021-03-16,90012,9750,4626
2021-03-23,90012,12227,5858
2021-03-30,90012,14419,7421
2021-01-05,90013,162,13
2021-01-12,90013,257,74
2021-01-19,90013,418,105
2021-01-26,90013,639,126
2021-02-02,90013,919,181
2021-02-09,90013,1314,278
2021-02-16,90013,1675,446
2021-02-23,90013,2018,632
2021-03-02,90013,2554,972
2021-03-09,90013,3197,1175
2021-03-16,90013,3924,1646
2021-03-23,90013,4663,2071
2021-03-30,90013,5411,2643
2021-01-12,90014,160,45
2021-01-19,90014,240,65
2021-01-26,90014,378,82
2021-02-02,90014,478,113
2021-02-09,90014,1068,165
2021-02-16,90014,1163,259
2021-02-23,90014,1301,344
2021-03-02,90014,1608,866
2021-03-09,90014,1914,970
2021-03-16,90014,2276,1165
2021-03-23,90014,2662,1427
2021-03-30,90014,3002,1686
2021-01-05,90015,389,13
2021-01-12,90015,574,165
2021-01-19,90015,809,232
2021-01-26,90015,1133,303
2021-02-02,90015,1549,425
2021-02-09,90015,2011,632
2021-02-16,90015,2252,851
2021-02-23,90015,2521,1158
2021-03-02,90015,3042,1587
2021-03-09,90015,3840,1934
2021-03-16,90015,4820,2394
2021-03-23,90015,5857,2866
2021-03-30,90015,6972,3521
2021-01-05,90016,535,12
