date,zcta,at_least_one_dose,fully_vaccinated
2023-01-01,90001,57762,44221
2023-01-03,90001,57783,44227
2023-01-10,90001,57812,44235
2023-01-17,90001,57831,44244
2023-01-24,90001,57852,44251
2023-01-31,90001,57872,44257
2023-02-07,90001,57885,44264
2023-02-14,90001,57902,44268
2023-02-21,90001,57919,44275
2023-02-28,90001,57935,44279
2023-03-07,90001,57945,44287
2023-03-14,90001,57953,44296
2023-03-21,90001,57966,44298
2023-03-28,90001,57976,44299
2023-01-01,90002,40480,35291
2023-01-03,90002,40494,35296
2023-01-10,90002,40502,35312
2023-01-17,90002,40523,35320
2023-01-24,90002,40539,35332
2023-01-31,90002,40558,35337
2023-02-07,90002,40581,35347
2023-02-14,90002,40597,35350
2023-02-21,90002,40605,35358
2023-02-28,90002,40624,35361
2023-03-07,90002,40632,35368
2023-03-14,90002,40643,35370
2023-03-21,90002,40658,35378
2023-03-28,90002,40671,35385
2023-01-01,90003,57087,48791
2023-01-03,90003,57116,48803
2023-01-10,90003,57148,48813
2023-01-17,90003,57175,48827
2023-01-24,90003,57206,48854
2023-01-31,90003,57234,48864
2023-02-07,90003,57256,48869
2023-02-14,90003,57280,48877
2023-02-21,90003,57299,48884
2023-02-28,90003,57320,48896
2023-03-07,90003,57341,48904
2023-03-14,90003,57358,48911
2023-03-21,90003,57374,48922
2023-03-28,90003,57391,48940
2023-01-01,90004,52963,47132
2023-01-03,90004,52982,47134
2023-01-10,90004,53002,47148
2023-01-17,90004,53016,47154
2023-01-24,90004,53031,47161
2023-01-31,90004,53055,47166
2023-02-07,90004,53072,47170
2023-02-14,90004,53089,47175
2023-02-21,90004,53094,47184
2023-02-28,90004,53110,47196
2023-03-07,90004,53122,47207
2023-03-14,90004,53136,47213
2023-03-21,90004,53155,47221
2023-03-28,90004,53168,47224
2023-01-01,90005,33704,29392
2023-01-03,90005,33723,29396
2023-01-10,90005,33742,29405
2023-01-17,90005,33755,29408
2023-01-24,90005,33771,29417
2023-01-31,90005,33775,29420
2023-02-07,90005,33788,29423
2023-02-14,90005,33794,29426
2023-02-21,90005,33803,29426
2023-02-28,90005,33808,29428
2023-03-07,90005,33818,29431
2023-03-14,90005,33827,29435
2023-03-21,90005,33836,29437
2023-03-28,90005,33841,29439
2023-01-01,90006,50489,43751
2023-01-03,90006,50511,43760
2023-01-10,90006,50535,43770
2023-01-17,90006,50557,43777
2023-01-24,90006,50573,43784
2023-01-31,90006,50595,43796
2023-02-07,90006,50608,43806
2023-02-14,90006,50624,43812
2023-02-21,90006,50638,43827
2023-02-28,90006,50650,43834
2023-03-07,90006,50669,43840
2023-03-14,90006,50681,43848
2023-03-21,90006,50694,43852
2023-03-28,90006,50710,43855
2023-01-01,90007,40851,34838
