date,zcta,at_least_one_dose,fully_vaccinated
2022-10-01,90001,57726,44230
2022-10-04,90001,57762,44252
2022-10-11,90001,57799,44264
2022-10-18,90001,57822,44283
2022-10-25,90001,57870,44304
2022-11-01,90001,57905,44312
2022-11-08,90001,57946,44324
2022-11-15,90001,57981,44339
2022-11-22,90001,58011,44355
2022-11-29,90001,58036,44361
2022-12-06,90001,58076,44367
2022-12-13,90001,58120,44387
2022-12-20,90001,58162,44398
2022-12-27,90001,58177,44402
2022-10-01,90002,40175,35116
2022-10-04,90002,40209,35129
2022-10-11,90002,40239,35142
2022-10-18,90002,40266,35151
2022-10-25,90002,40294,35164
2022-11-01,90002,40314,35172
2022-11-08,90002,40343,35183
2022-11-15,90002,40368,35191
2022-11-22,90002,40403,35202
2022-11-29,90002,40423,35210
2022-12-06,90002,40457,35219
2022-12-13,90002,40484,35227
2022-12-20,90002,40504,35237
2022-12-27,90002,40518,35241
2022-10-01,90003,56536,48532
2022-10-04,90003,56599,48548
2022-10-11,90003,56633,48564
2022-10-18,90003,56674,48587
2022-10-25,90003,56724,48608
2022-11-01,90003,56789,48631
2022-11-08,90003,56839,48646
2022-11-15,90003,56863,48656
2022-11-22,90003,56926,48670
2022-11-29,90003,56957,48679
2022-12-06,90003,57013,48694
2022-12-13,90003,57060,48711
2022-12-20,90003,57107,48726
2022-12-27,90003,57133,48739
2022-10-01,90004,52373,46927
2022-10-04,90004,52428,46943
2022-10-11,90004,52478,46959
2022-10-18,90004,52535,46975
2022-10-25,90004,52597,46991
2022-11-01,90004,52644,47007
2022-11-08,90004,52700,47021
2022-11-15,90004,52755,47033
2022-11-22,90004,52809,47044
2022-11-29,90004,52832,47053
2022-12-06,90004,52878,47065
2022-12-13,90004,52926,47072
2022-12-20,90004,52957,47083
2022-12-27,90004,52976,47091
2022-10-01,90005,33389,29286
2022-10-04,90005,33425,29295
2022-10-11,90005,33459,29299
2022-10-18,90005,33482,29310
2022-10-25,90005,33514,29322
2022-11-01,90005,33540,29331
2022-11-08,90005,33571,29335
2022-11-15,90005,33599,29341
2022-11-22,90005,33627,29350
2022-11-29,90005,33644,29356
2022-12-06,90005,33668,29361
2022-12-13,90005,33687,29366
2022-12-20,90005,33714,29372
2022-12-27,90005,33724,29378
2022-10-01,90006,50105,43561
