date,zcta,at_least_one_dose,fully_vaccinated
2023-04-01,90001,57995,44338
2023-04-04,90001,58002,44342
2023-04-11,90001,58011,44347
2023-04-18,90001,58019,44350
2023-04-25,90001,58026,44350
2023-05-02,90001,58034,44352
2023-05-09,90001,58043,44352
2023-05-16,90001,58053,44353
2023-05-23,90001,58064,44353
2023-05-30,90001,58066,44353
2023-04-01,90002,40688,35406
2023-04-04,90002,40697,35411
2023-04-11,90002,40704,35416
2023-04-18,90002,40715,35423
2023-04-25,90002,40723,35423
2023-05-02,90002,40727,35424
2023-05-09,90002,40739,35424
2023-05-16,90002,40748,35425
2023-05-23,90002,40760,35425
2023-05-30,90002,40763,35425
2023-04-01,90003,57436,49014
2023-04-04,90003,57448,49023
2023-04-11,90003,57463,49028
2023-04-18,90003,57480,49033
2023-04-25,90003,57499,49033
2023-05-02,90003,57510,49033
2023-05-09,90003,57525,49033
2023-05-16,90003,57545,49033
2023-05-23,90003,57556,49033
2023-05-30,90003,57564,49033
2023-04-01,90004,53180,47248
2023-04-04,90004,53197,47254
2023-04-11,90004,53202,47259
2023-04-18,90004,53206,47263
2023-04-25,90004,53214,47265
2023-05-02,90004,53219,47265
2023-05-09,90004,53226,47266
2023-05-16,90004,53228,47267
2023-05-23,90004,53235,47272
2023-05-30,90004,53241,47272
2023-04-01,90005,33855,29458
2023-04-04,90005,33858,29460
2023-04-11,90005,33868,29462
2023-04-18,90005,33871,29463
2023-04-25,90005,33880,29464
2023-05-02,90005,33883,29464
2023-05-09,90005,33886,29466
2023-05-16,90005,33892,29467
2023-05-23,90005,33899,29468
2023-05-30,90005,33905,29469
2023-04-01,90006,50742,43914
2023-04-04,90006,50752,43922
2023-04-11,90006,50758,43926
2023-04-18,90006,50764,43928
2023-04-25,90006,50772,43929
2023-05-02,90006,50782,43930
2023-05-09,90006,50788,43930
2023-05-16,90006,50799,43930
2023-05-23,90006,50830,43930
2023-05-30,90006,50835,43930
2023-04-01,90007,41068,34915
2023-04-04,90007,41075,34916
2023-04-11,90007,41087,34920
2023-04-18,90007,41092,34922
2023-04-25,90007,41105,34923
2023-05-02,90007,41114,34923
2023-05-09,90007,41122,34923
2023-05-16,90007,41130,34923
2023-05-23,90007,41138,34923
2023-05-30,90007,41143,34923
2023-04-01,90008,24362,21846
2023-04-04,90008,24372,21850
2023-04-11,90008,24374,21855
2023-04-18,90008,24379,21858
2023-04-25,90008,24380,21860
2023-05-02,90008,24383,21861
2023-05-09,90008,24388,21861
2023-05-16,90008,24392,21864
2023-05-23,90008,24393,21864
2023-05-30,90008,24395,21864
2023-04-01,90010,5122,4249
2023-04-04,90010,5123,4249
2023-04-11,90010,5123,4251
2023-04-18,90010,5126,4251
2023-04-25,90010,5127,4251
2023-05-02,90010,5131,4251
2023-05-09,90010,5132,4251
2023-05-16,90010,5133,4251
2023-05-23,90010,5135,4251
2023-05-30,90010,5136,4252
2023-04-01,90011,85450,70093
2023-04-04,90011,85474,70104
2023-04-11,90011,85502,70110
2023-04-18,90011,85514,70120
2023-04-25,90011,85522,70123
2023-05-02,90011,85538,70124
2023-05-09,90011,85564,70126
2023-05-16,90011,85579,70127
2023-05-23,90011,85601,70129
2023-05-30,90011,85612,70129
2023-04-01,90012,37973,32515
2023-04-04,90012,37989,32527
2023-04-11,90012,38011,32535
2023-04-18,90012,38035,32547
2023-04-25,90012,38048,32547
2023-05-02,90012,38060,32547
2023-05-09,90012,38075,32548
2023-05-16,90012,38109,32549
2023-05-23,90012,38124,32549
2023-05-30,90012,38136,32550
2023-04-01,90013,12670,9996
2023-04-04,90013,12676,9997
2023-04-11,90013,12679,9997
2023-04-18,90013,12681,9998
2023-04-25,90013,12686,9998
2023-05-02,90013,12695,9998
2023-05-09,90013,12701,9998
2023-05-16,90013,12709,9999
2023-05-23,90013,12714,9999
2023-05-30,90013,12715,9999
2023-04-01,90014,9219,7589
2023-04-04,90014,9225,7589
2023-04-11,90014,9228,7589
2023-04-18,90014,9234,7590
2023-04-25,90014,9236,7591
2023-05-02,90014,9242,7591
2023-05-09,90014,9247,7591
2023-05-16,90014,9250,7592
2023-05-23,90014,9252,7592
2023-05-30,90014,9253,7592
2023-04-01,90015,22639,18897
2023-04-04,90015,22642,18898
2023-04-11,90015,22645,18899
2023-04-18,90015,22647,18903
2023-04-25,90015,22649,18903
2023-05-02,90015,22649,18903
2023-05-09,90015,22655,18903
2023-05-16,90015,22662,18903
2023-05-23,90015,22668,18903
2023-05-30,90015,22670,18903
2023-04-01,90016,40009,35840
2023-04-04,90016,40014,35843
2023-04-11,90016,40023,35847
2023-04-18,90016,40034,35852
2023-04-25,90016,40040,35854
2023-05-02,90016,40049,35856
2023-05-09,90016,40060,35858
2023-05-16,90016,40067,35858
2023-05-23,90016,40072,35858
2023-05-30,90016,40076,35858
2023-04-01,90017,25603,20377
2023-04-04,90017,25612,20379
2023-04-11,90017,25628,20380
2023-04-18,90017,25641,20380
2023-04-25,90017,25652,20381
2023-05-02,90017,25661,20381
2023-05-09,90017,25667,20381
2023-05-16,90017,25677,20381
2023-05-23,90017,25681,20381
2023-05-30,90017,25684,20382
2023-04-01,90018,42443,37046
2023-04-04,90018,42449,37057
2023-04-11,90018,42456,37061
2023-04-18,90018,42464,37068
2023-04-25,90018,42469,37071
2023-05-02,90018,42472,37072
2023-05-09,90018,42478,37072
2023-05-16,90018,42482,37074
2023-05-23,90018,42490,37074
2023-05-30,90018,42491,37076
2023-04-01,90019,53579,47827
2023-04-04,90019,53594,47836
2023-04-11,90019,53611,47845
2023-04-18,90019,53621,47850
2023-04-25,90019,53624,47850
2023-05-02,90019,53630,47850
2023-05-09,90019,53651,47852
2023-05-16,90019,53661,47852
2023-05-23,90019,53671,47854
2023-05-30,90019,53677,47855
2023-04-01,90020,35191,31007
2023-04-04,90020,35198,31011
2023-04-11,90020,35212,31014
2023-04-18,90020,35216,31016
2023-04-25,90020,35220,31017
2023-05-02,90020,35233,31017
2023-05-09,90020,35242,31017
2023-05-16,90020,35248,31017
2023-05-23,90020,35258,31017
2023-05-30,90020,35261,31019
2023-04-01,90021,3875,3171
2023-04-04,90021,3876,3171
2023-04-11,90021,3876,3171
2023-04-18,90021,3877,3171
2023-04-25,90021,3878,3171
2023-05-02,90021,3879,3171
2023-05-09,90021,3879,3171
2023-05-16,90021,3881,3172
2023-05-23,90021,3883,3172
2023-05-30,90021,3884,3172
2023-04-01,90022,55331,49588
2023-04-04,90022,55345,49594
2023-04-11,90022,55356,49598
2023-04-18,90022,55363,49603
2023-04-25,90022,55369,49607
2023-05-02,90022,55378,49607
2023-05-09,90022,55384,49609
2023-05-16,90022,55398,49609
2023-05-23,90022,55406,49609
2023-05-30,90022,55413,49611
2023-04-01,90023,39746,34827
2023-04-04,90023,39757,34829
2023-04-11,90023,39764,34833
2023-04-18,90023,39772,34835
2023-04-25,90023,39776,34835
2023-05-02,90023,39783,34835
2023-05-09,90023,39786,34836
2023-05-16,90023,39791,34836
2023-05-23,90023,39795,34837
2023-05-30,90023,39798,34838
2023-04-01,90024,33876,28052
2023-04-04,90024,33880,28055
2023-04-11,90024,33886,28060
2023-04-18,90024,33889,28061
2023-04-25,90024,33897,28062
2023-05-02,90024,33903,28063
2023-05-09,90024,33911,28063
2023-05-16,90024,33916,28063
2023-05-23,90024,33922,28064
2023-05-30,90024,33930,28064
2023-04-01,90025,40799,36235
2023-04-04,90025,40803,36241
2023-04-11,90025,40810,36243
2023-04-18,90025,40815,36247
2023-04-25,90025,40819,36248
2023-05-02,90025,40825,36249
2023-05-09,90025,40833,36250
2023-05-16,90025,40844,36251
2023-05-23,90025,40852,36251
2023-05-30,90025,40857,36251
2023-04-01,90026,54905,48783
2023-04-04,90026,54915,48789
2023-04-11,90026,54928,48790
2023-04-18,90026,54937,48794
2023-04-25,90026,54942,48801
2023-05-02,90026,54948,48802
2023-05-09,90026,54954,48804
2023-05-16,90026,54961,48805
2023-05-23,90026,54968,48805
2023-05-30,90026,54977,48807
2023-04-01,90027,39653,35391
2023-04-04,90027,39658,35397
2023-04-11,90027,39668,35405
2023-04-18,90027,39669,35409
2023-04-25,90027,39672,35410
2023-05-02,90027,39678,35412
2023-05-09,90027,39682,35414
2023-05-16,90027,39686,35415
2023-05-23,90027,39691,35415
2023-05-30,90027,39698,35416
2023-04-01,90028,29601,24684
2023-04-04,90028,29611,24684
2023-04-11,90028,29616,24684
2023-04-18,90028,29624,24684
2023-04-25,90028,29634,24684
2023-05-02,90028,29641,24684
2023-05-09,90028,29650,24684
2023-05-16,90028,29658,24684
2023-05-23,90028,29667,24684
2023-05-30,90028,29676,24684
2023-04-01,90029,30318,26933
2023-04-04,90029,30325,26935
2023-04-11,90029,30328,26937
2023-04-18,90029,30332,26937
2023-04-25,90029,30338,26937
2023-05-02,90029,30343,26939
2023-05-09,90029,30353,26939
2023-05-16,90029,30360,26939
2023-05-23,90029,30367,26940
2023-05-30,90029,30371,26940
2023-04-01,90031,32428,29260
2023-04-04,90031,32433,29264
2023-04-11,90031,32437,29267
2023-04-18,90031,32445,29269
2023-04-25,90031,32451,29271
2023-05-02,90031,32459,29271
2023-05-09,90031,32465,29273
2023-05-16,90031,32468,29273
2023-05-23,90031,32470,29274
2023-05-30,90031,32477,29274
2023-04-01,90032,36899,33665
2023-04-04,90032,36903,33667
2023-04-11,90032,36907,33675
2023-04-18,90032,36910,33676
