date,zcta,at_least_one_dose,fully_vaccinated
2022-01-01,90001,52614,39527
2022-01-04,90001,53050,39860
2022-01-11,90001,53727,40343
2022-01-18,90001,54128,40661
2022-01-25,90001,54504,41004
2022-02-01,90001,54818,41455
2022-02-08,90001,55060,41761
2022-02-15,90001,55291,42076
2022-02-22,90001,55435,42307
2022-03-01,90001,55573,42497
2022-03-08,90001,55714,42657
2022-03-15,90001,55809,42766
2022-03-22,90001,55911,42869
2022-03-29,90001,56008,42959
2022-01-01,90002,36065,31106
2022-01-04,90002,36441,31391
2022-01-11,90002,37041,31811
2022-01-18,90002,37374,32089
2022-01-25,90002,37674,32386
2022-02-01,90002,37925,32776
2022-02-08,90002,38135,33052
2022-02-15,90002,38316,33288
2022-02-22,90002,38456,33496
2022-03-01,90002,38596,33669
2022-03-08,90002,38698,33861
2022-03-15,90002,38809,33964
2022-03-22,90002,38897,34091
2022-03-29,90002,38956,34140
2022-01-01,90003,50474,42826
2022-01-04,90003,51019,43275
2022-01-11,90003,51832,43853
2022-01-18,90003,52331,44239
2022-01-25,90003,52807,44656
2022-02-01,90003,53248,45177
2022-02-08,90003,53561,45570
2022-02-15,90003,53865,45914
2022-02-22,90003,54081,46229
2022-03-01,90003,54264,46497
2022-03-08,90003,54434,46716
2022-03-15,90003,54537,46866
2022-03-22,90003,54658,47038
2022-03-29,90003,54769,47163
2022-01-01,90004,48807,43740
2022-01-04,90004,49107,43983
2022-01-11,90004,49505,44322
2022-01-18,90004,49803,44553
2022-01-25,90004,50048,44787
2022-02-01,90004,50253,45073
2022-02-08,90004,50426,45249
2022-02-15,90004,50557,45425
2022-02-22,90004,50663,45586
2022-03-01,90004,50754,45700
2022-03-08,90004,50833,45794
2022-03-15,90004,50883,45856
2022-03-22,90004,50943,45918
2022-03-29,90004,50998,45978
2022-01-01,90005,31056,27221
2022-01-04,90005,31251,27404
2022-01-11,90005,31561,27614
2022-01-18,90005,31766,27772
2022-01-25,90005,31942,27906
2022-02-01,90005,32092,28092
2022-02-08,90005,32216,28236
2022-02-15,90005,32311,28376
2022-02-22,90005,32375,28462
2022-03-01,90005,32448,28547
2022-03-08,90005,32485,28605
2022-03-15,90005,32530,28647
2022-03-22,90005,32574,28693
2022-03-29,90005,32615,28733
2022-01-01,90006,46041,39754
2022-01-04,90006,46341,40058
2022-01-11,90006,46871,40479
2022-01-18,90006,47196,40759
2022-01-25,90006,47598,41025
2022-02-01,90006,47853,41314
2022-02-08,90006,48067,41573
2022-02-15,90006,48245,41870
2022-02-22,90006,48377,42043
2022-03-01,90006,48488,42194
2022-03-08,90006,48606,42329
2022-03-15,90006,48686,42407
2022-03-22,90006,48748,42500
2022-03-29,90006,48819,42581
2022-01-01,90007,36388,32411
2022-01-04,90007,36664,32590
2022-01-11,90007,37155,32848
2022-01-18,90007,37507,33001
2022-01-25,90007,37976,33168
2022-02-01,90007,38337,33363
2022-02-08,90007,38498,33516
2022-02-15,90007,38677,33642
2022-02-22,90007,38794,33730
2022-03-01,90007,38941,33827
2022-03-08,90007,39041,33887
2022-03-15,90007,39114,33938
2022-03-22,90007,39174,33982
2022-03-29,90007,39231,34030
2022-01-01,90008,22182,19849
2022-01-04,90008,22320,19973
2022-01-11,90008,22518,20131
2022-01-18,90008,22664,20275
2022-01-25,90008,22798,20395
2022-02-01,90008,22909,20535
2022-02-08,90008,22991,20667
2022-02-15,90008,23045,20771
2022-02-22,90008,23103,20864
2022-03-01,90008,23149,20938
2022-03-08,90008,23182,20999
2022-03-15,90008,23210,21061
2022-03-22,90008,23246,21095
2022-03-29,90008,23269,21139
2022-01-01,90010,4678,4057
2022-01-04,90010,4714,4069
2022-01-11,90010,4745,4095
2022-01-18,90010,4772,4107
2022-01-25,90010,4803,4118
2022-02-01,90010,4819,4128
2022-02-08,90010,4832,4141
2022-02-15,90010,4845,4149
2022-02-22,90010,4858,4153
2022-03-01,90010,4873,4157
2022-03-08,90010,4879,4162
2022-03-15,90010,4884,4165
2022-03-22,90010,4895,4166
2022-03-29,90010,4897,4168
2022-01-01,90011,76067,61944
2022-01-04,90011,76722,62469
2022-01-11,90011,77851,63246
2022-01-18,90011,78537,63770
2022-01-25,90011,79170,64316
2022-02-01,90011,79691,65029
2022-02-08,90011,80122,65572
2022-02-15,90011,80463,66014
2022-02-22,90011,80750,66409
2022-03-01,90011,81038,66792
2022-03-08,90011,81265,67011
2022-03-15,90011,81420,67217
2022-03-22,90011,81591,67394
2022-03-29,90011,81744,67533
2022-01-01,90012,33625,29592
2022-01-04,90012,33857,29753
2022-01-11,90012,34185,29966
2022-01-18,90012,34367,30107
2022-01-25,90012,34583,30304
2022-02-01,90012,34762,30487
2022-02-08,90012,34918,30631
2022-02-15,90012,35064,30743
2022-02-22,90012,35153,30808
2022-03-01,90012,35282,30879
2022-03-08,90012,35405,30929
2022-03-15,90012,35490,30999
2022-03-22,90012,35583,31058
2022-03-29,90012,35646,31124
2022-01-01,90013,11233,9146
2022-01-04,90013,11300,9200
2022-01-11,90013,11370,9251
2022-01-18,90013,11444,9314
2022-01-25,90013,11505,9361
2022-02-01,90013,11576,9403
2022-02-08,90013,11640,9448
2022-02-15,90013,11690,9478
