date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2022-10-01,Alameda,1506022,1398324,3637,39761
2022-10-02,Alameda,1506087,1398339,1573,39761
2022-10-03,Alameda,1506345,1398449,6368,39774
2022-10-04,Alameda,1506654,1398705,7043,40325
2022-10-05,Alameda,1506981,1398844,8043,40915
2022-10-06,Alameda,1507344,1399038,6859,41041
2022-10-07,Alameda,1507707,1399248,8162,41685
2022-10-08,Alameda,1507836,1399355,3784,41832
2022-10-09,Alameda,1507908,1399367,1295,41554
2022-10-10,Alameda,1508165,1399478,6235,41421
2022-10-11,Alameda,1508449,1399708,6783,41161
2022-10-12,Alameda,1508772,1399854,7463,40581
2022-10-13,Alameda,1509074,1400018,6593,40315
2022-10-14,Alameda,1509409,1400213,8063,40216
2022-10-15,Alameda,1509500,1400291,3435,39867
2022-10-16,Alameda,1509546,1400313,1233,39805
2022-10-17,Alameda,1509866,1400437,6416,39986
2022-10-18,Alameda,1510215,1400661,6879,40082
2022-10-19,Alameda,1510534,1400805,7402,40021
2022-10-20,Alameda,1510876,1400988,6743,40171
2022-10-21,Alameda,1511243,1401152,7974,40082
2022-10-22,Alameda,1511361,1401248,3818,40465
2022-10-23,Alameda,1511424,1401262,1240,40472
2022-10-24,Alameda,1511697,1401389,6174,40230
2022-10-25,Alameda,1511973,1401645,6354,39705
2022-10-26,Alameda,1512297,1401774,7230,39533
2022-10-27,Alameda,1512553,1401948,6611,39401
2022-10-28,Alameda,1512914,1402134,8076,39503
2022-10-29,Alameda,1513054,1402209,3244,38929
2022-10-30,Alameda,1513128,1402221,1289,38978
2022-10-31,Alameda,1513377,1402294,5330,38134
2022-11-01,Alameda,1513633,1402450,5676,37456
2022-11-02,Alameda,1513950,1402570,6786,37012
2022-11-03,Alameda,1514194,1402697,5941,36342
2022-11-04,Alameda,1514597,1402856,8009,36275
2022-11-05,Alameda,1514723,1402943,3554,36585
2022-11-06,Alameda,1514767,1402948,1117,36413
2022-11-07,Alameda,1515031,1403045,5305,36388
2022-11-08,Alameda,1515315,1403174,5486,36198
2022-11-09,Alameda,1515610,1403292,6187,35599
2022-11-10,Alameda,1515856,1403470,5848,35506
2022-11-11,Alameda,1516153,1403618,7614,35111
2022-11-12,Alameda,1516278,1403679,2862,34419
2022-11-13,Alameda,1516331,1403693,1079,34381
2022-11-14,Alameda,1516595,1403801,5307,34383
2022-11-15,Alameda,1516863,1403935,5533,34430
2022-11-16,Alameda,1517152,1404031,5547,33790
2022-11-17,Alameda,1517448,1404167,5183,33125
2022-11-18,Alameda,1517829,1404316,6770,32281
2022-11-19,Alameda,1517956,1404373,2995,32414
2022-11-20,Alameda,1518011,1404382,1027,32362
2022-11-21,Alameda,1518309,1404475,5253,32308
2022-11-22,Alameda,1518612,1404626,5141,31916
2022-11-23,Alameda,1518909,1404770,5254,31623
2022-11-24,Alameda,1518910,1404773,23,26463
2022-11-25,Alameda,1519019,1404808,2276,21969
2022-11-26,Alameda,1519080,1404827,1412,20386
2022-11-27,Alameda,1519134,1404853,817,20176
2022-11-28,Alameda,1519367,1404960,3301,18224
2022-11-29,Alameda,1519639,1405133,3963,17046
2022-11-30,Alameda,1519892,1405282,4631,16423
2022-12-01,Alameda,1520168,1405384,4047,20447
2022-12-02,Alameda,1520516,1405552,5529,23700
2022-12-03,Alameda,1520640,1405605,2154,24442
2022-12-04,Alameda,1520697,1405615,923,24548
2022-12-05,Alameda,1520930,1405706,3778,25025
2022-12-06,Alameda,1521210,1405843,3912,24974
2022-12-07,Alameda,1521447,1405946,3952,24295
2022-12-08,Alameda,1521698,1406046,3818,24066
2022-12-09,Alameda,1522033,1406165,5061,23598
2022-12-10,Alameda,1522132,1406204,2075,23519
2022-12-11,Alameda,1522174,1406212,784,23380
2022-12-12,Alameda,1522415,1406286,3612,23214
2022-12-13,Alameda,1522623,1406341,3586,22888
2022-12-14,Alameda,1522841,1406424,3641,22577
2022-12-15,Alameda,1523085,1406496,3472,22231
2022-12-16,Alameda,1523408,1406603,4575,21745
2022-12-17,Alameda,1523528,1406627,1640,21310
2022-12-18,Alameda,1523588,1406636,806,21332
2022-12-19,Alameda,1523843,1406732,3839,21559
2022-12-20,Alameda,1524109,1406844,3916,21889
2022-12-21,Alameda,1524350,1406960,3615,21863
2022-12-22,Alameda,1524617,1407037,3233,21624
2022-12-23,Alameda,1524839,1407123,3388,20437
2022-12-24,Alameda,1524889,1407126,430,19227
2022-12-25,Alameda,1524889,1407126,3,18424
2022-12-26,Alameda,1524993,1407134,940,15525
2022-12-27,Alameda,1525272,1407246,3584,15193
