date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2023-04-01,Alameda,1533750,1412543,163,3275
2023-04-02,Alameda,1533764,1412544,81,3269
2023-04-03,Alameda,1533829,1412575,492,3237
2023-04-04,Alameda,1533916,1412627,587,3231
2023-04-05,Alameda,1533977,1412665,526,3185
2023-04-06,Alameda,1534044,1412701,544,3129
2023-04-07,Alameda,1534109,1412758,567,2960
2023-04-08,Alameda,1534127,1412766,175,2972
2023-04-09,Alameda,1534131,1412766,29,2920
2023-04-10,Alameda,1534194,1412808,460,2888
2023-04-11,Alameda,1534253,1412845,457,2758
2023-04-12,Alameda,1534327,1412902,518,2750
2023-04-13,Alameda,1534382,1412945,493,2699
2023-04-14,Alameda,1534448,1412989,601,2733
2023-04-15,Alameda,1534465,1413000,148,2706
2023-04-16,Alameda,1534473,1413002,71,2748
2023-04-17,Alameda,1534523,1413035,449,2737
2023-04-18,Alameda,1534564,1413078,437,2717
2023-04-19,Alameda,1534603,1413103,458,2657
2023-04-20,Alameda,1534638,1413118,637,2801
2023-04-21,Alameda,1534681,1413129,923,3123
2023-04-22,Alameda,1534698,1413129,286,3261
2023-04-23,Alameda,1534716,1413129,245,3435
2023-04-24,Alameda,1534771,1413142,806,3792
2023-04-25,Alameda,1534821,1413164,809,4164
2023-04-26,Alameda,1534883,1413178,902,4608
2023-04-27,Alameda,1534936,1413193,937,4908
2023-04-28,Alameda,1535003,1413211,1189,5174
2023-04-29,Alameda,1535011,1413213,119,5007
2023-04-30,Alameda,1535018,1413213,70,4832
2023-05-01,Alameda,1535080,1413222,1161,5187
2023-05-02,Alameda,1535134,1413240,1375,5753
2023-05-03,Alameda,1535200,1413260,1360,6211
2023-05-04,Alameda,1535259,1413269,1300,6574
2023-05-05,Alameda,1535330,1413287,1701,7086
2023-05-06,Alameda,1535345,1413288,392,7359
2023-05-07,Alameda,1535357,1413289,255,7544
2023-05-08,Alameda,1535398,1413297,1451,7834
2023-04-01,Alpine,673,599,0,0
2023-04-02,Alpine,673,599,0,0
2023-04-03,Alpine,673,599,0,0
2023-04-04,Alpine,673,599,1,1
2023-04-05,Alpine,673,599,2,3
2023-04-06,Alpine,673,599,0,3
2023-04-07,Alpine,673,599,0,3
2023-04-08,Alpine,673,599,0,3
2023-04-09,Alpine,673,599,0,3
2023-04-10,Alpine,673,599,0,3
2023-04-11,Alpine,673,599,0,2
2023-04-12,Alpine,673,599,0,0
2023-04-13,Alpine,673,599,0,0
2023-04-14,Alpine,673,599,0,0
2023-04-15,Alpine,673,599,0,0
2023-04-16,Alpine,673,599,0,0
2023-04-17,Alpine,673,599,0,0
2023-04-18,Alpine,673,599,0,0
2023-04-19,Alpine,673,599,0,0
2023-04-20,Alpine,673,599,0,0
2023-04-21,Alpine,673,599,0,0
2023-04-22,Alpine,673,599,0,0
2023-04-23,Alpine,673,599,0,0
2023-04-24,Alpine,673,599,0,0
2023-04-25,Alpine,673,599,0,0
2023-04-26,Alpine,673,599,0,0
2023-04-27,Alpine,673,599,0,0
2023-04-28,Alpine,673,599,0,0
2023-04-29,Alpine,673,599,0,0
2023-04-30,Alpine,673,599,0,0
2023-05-01,Alpine,673,599,0,0
2023-05-02,Alpine,673,599,0,0
2023-05-03,Alpine,673,599,0,0
2023-05-04,Alpine,673,599,0,0
2023-05-05,Alpine,673,599,0,0
2023-05-06,Alpine,673,599,0,0
2023-05-07,Alpine,673,599,0,0
2023-05-08,Alpine,673,599,0,0
2023-04-01,Amador,24061,22200,1,34
2023-04-02,Amador,24061,22200,0,31
2023-04-03,Amador,24062,22200,2,28
2023-04-04,Amador,24062,22200,2,25
2023-04-05,Amador,24062,22200,5,26
