date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2021-04-01,Alameda,611902,418427,24046,128781
2021-04-02,Alameda,629415,431035,24406,131922
2021-04-03,Alameda,644342,441304,20424,133901
2021-04-04,Alameda,651306,447773,9871,132974
2021-04-05,Alameda,663556,458619,18389,136105
2021-04-06,Alameda,679817,470942,22806,139675
2021-04-07,Alameda,696980,482591,23338,143280
2021-04-08,Alameda,716175,497350,26097,145331
2021-04-09,Alameda,733763,509091,24099,145024
2021-04-10,Alameda,748506,520540,19965,144565
2021-04-11,Alameda,757116,527247,11356,146050
2021-04-12,Alameda,769589,535426,18662,146323
2021-04-13,Alameda,787054,541798,23833,147350
2021-04-14,Alameda,803110,549748,24065,148077
2021-04-15,Alameda,819462,558487,25165,147145
2021-04-16,Alameda,835538,567635,25290,148336
2021-04-17,Alameda,850191,574185,21259,149630
2021-04-18,Alameda,857632,577613,10902,149176
2021-04-19,Alameda,866703,584710,16228,146742
2021-04-20,Alameda,877111,593601,19373,142282
2021-04-21,Alameda,888967,602452,20769,138986
2021-04-22,Alameda,900734,613242,22662,136483
2021-04-23,Alameda,913216,623574,22897,134090
2021-04-24,Alameda,923266,632807,19363,132194
2021-04-25,Alameda,929195,636022,9186,130478
2021-04-26,Alameda,938215,642130,15175,129425
2021-04-27,Alameda,946463,651458,17258,127310
2021-04-28,Alameda,953790,662159,17625,124166
2021-04-29,Alameda,960680,673800,18288,119792
2021-04-30,Alameda,969160,686816,21260,118155
2021-05-01,Alameda,974862,696082,14794,113586
2021-05-02,Alameda,977943,700444,7291,111691
2021-05-03,Alameda,981018,712592,14984,111500
2021-05-04,Alameda,984960,728130,19178,113420
2021-05-05,Alameda,989202,743818,19519,115314
2021-05-06,Alameda,993636,759964,19957,116983
2021-05-07,Alameda,998449,775471,19969,115692
2021-05-08,Alameda,1001883,789531,17335,118233
2021-05-09,Alameda,1003279,797144,8882,119824
2021-05-10,Alameda,1006113,805471,10875,115715
2021-05-11,Alameda,1009198,818828,16190,112727
2021-05-12,Alameda,1012401,830007,13989,107197
2021-05-13,Alameda,1018751,842683,18548,105788
2021-05-14,Alameda,1026324,856643,21163,106982
2021-05-15,Alameda,1032624,868328,17835,107482
2021-05-16,Alameda,1035920,874336,9236,107836
2021-05-17,Alameda,1040660,883817,13772,110733
2021-05-18,Alameda,1046129,893523,14818,109361
2021-05-19,Alameda,1052449,902423,14925,110297
2021-05-20,Alameda,1058736,910406,13817,105566
2021-05-21,Alameda,1064197,920861,15723,100126
2021-05-22,Alameda,1068615,927293,10747,93038
2021-05-23,Alameda,1070447,930830,5305,89107
2021-05-24,Alameda,1073591,935365,7455,82790
2021-05-25,Alameda,1077536,939959,8310,76282
2021-05-26,Alameda,1081408,944791,8465,69822
2021-05-27,Alameda,1085171,949786,8414,64419
2021-05-28,Alameda,1089063,954896,8840,57536
2021-05-29,Alameda,1091703,957500,5090,51879
2021-05-30,Alameda,1092774,959034,2542,49116
2021-05-31,Alameda,1093194,959882,1239,42900
2021-06-01,Alameda,1096533,964250,7451,42041
2021-06-02,Alameda,1098941,967967,5953,39529
2021-06-03,Alameda,1102038,973831,8720,39835
2021-06-04,Alameda,1105133,981642,10720,41715
2021-06-05,Alameda,1107085,988125,8316,44941
2021-06-06,Alameda,1108045,991073,3846,46245
2021-06-07,Alameda,1109998,995348,6077,51083
2021-06-08,Alameda,1112381,1000643,7462,51094
2021-06-09,Alameda,1114290,1006444,7556,52697
2021-06-10,Alameda,1116719,1012466,8194,52171
2021-06-11,Alameda,1119386,1018240,8279,49730
2021-06-12,Alameda,1120925,1022561,5708,47122
2021-06-13,Alameda,1121709,1024316,2432,45708
2021-06-14,Alameda,1123490,1027425,4714,44345
2021-06-15,Alameda,1125589,1031750,6203,43086
2021-06-16,Alameda,1127386,1035489,5376,40906
2021-06-17,Alameda,1129536,1039361,5841,38553
2021-06-18,Alameda,1131792,1043482,6169,36443
2021-06-19,Alameda,1133039,1045932,3565,34300
2021-06-20,Alameda,1133613,1046852,1478,33346
2021-06-21,Alameda,1135176,1048222,2813,31445
2021-06-22,Alameda,1136816,1051471,4718,29960
2021-06-23,Alameda,1138200,1053868,3623,28207
2021-06-24,Alameda,1139961,1056803,4499,26865
2021-06-25,Alameda,1141918,1059833,4823,25519
2021-06-26,Alameda,1143175,1061892,3202,25156
2021-06-27,Alameda,1143740,1062708,1356,25034
2021-06-28,Alameda,1145086,1064526,3026,25247
2021-06-29,Alameda,1146546,1066965,3826,24355
2021-06-30,Alameda,1147790,1068844,3056,23788
2021-04-01,Alpine,501,278,3,23
2021-04-02,Alpine,535,329,86,108
2021-04-03,Alpine,535,329,1,109
2021-04-04,Alpine,536,329,1,109
2021-04-05,Alpine,536,331,2,94
2021-04-06,Alpine,537,332,2,95
2021-04-07,Alpine,555,412,98,193
2021-04-08,Alpine,557,416,5,195
2021-04-09,Alpine,559,417,2,111
2021-04-10,Alpine,561,418,2,112
2021-04-11,Alpine,561,418,0,111
2021-04-12,Alpine,561,418,0,109
2021-04-13,Alpine,562,418,1,108
2021-04-14,Alpine,565,453,38,48
2021-04-15,Alpine,567,454,3,46
2021-04-16,Alpine,567,454,0,44
2021-04-17,Alpine,567,455,1,43
2021-04-18,Alpine,567,455,0,43
2021-04-19,Alpine,569,458,5,48
2021-04-20,Alpine,569,460,2,49
2021-04-21,Alpine,582,475,28,39
2021-04-22,Alpine,582,476,1,37
2021-04-23,Alpine,583,476,1,38
2021-04-24,Alpine,583,476,0,37
2021-04-25,Alpine,583,477,1,38
2021-04-26,Alpine,583,477,0,33
2021-04-27,Alpine,584,477,1,32
2021-04-28,Alpine,587,508,34,38
2021-04-29,Alpine,587,508,0,37
2021-04-30,Alpine,589,508,3,39
2021-05-01,Alpine,589,508,0,39
2021-05-02,Alpine,590,510,2,40
2021-05-03,Alpine,590,510,0,40
2021-05-04,Alpine,590,513,3,42
2021-05-05,Alpine,594,529,20,28
2021-05-06,Alpine,594,530,1,29
2021-05-07,Alpine,594,531,1,27
2021-05-08,Alpine,594,532,1,28
2021-05-09,Alpine,594,532,0,26
2021-05-10,Alpine,595,533,2,28
2021-05-11,Alpine,595,533,0,25
2021-05-12,Alpine,596,534,1,6
2021-05-13,Alpine,596,535,1,6
2021-05-14,Alpine,596,535,0,5
2021-05-15,Alpine,596,535,0,4
2021-05-16,Alpine,596,536,1,5
2021-05-17,Alpine,596,538,2,5
2021-05-18,Alpine,598,539,3,8
2021-05-19,Alpine,598,550,11,18
2021-05-20,Alpine,598,550,0,17
2021-05-21,Alpine,600,552,4,21
2021-05-22,Alpine,600,552,0,21
2021-05-23,Alpine,600,552,0,20
2021-05-24,Alpine,600,552,0,18
2021-05-25,Alpine,600,553,1,16
2021-05-26,Alpine,600,553,0,5
2021-05-27,Alpine,600,553,0,5
2021-05-28,Alpine,603,554,4,5
2021-05-29,Alpine,604,554,1,6
2021-05-30,Alpine,604,554,0,6
2021-05-31,Alpine,604,554,0,6
2021-06-01,Alpine,604,554,0,5
2021-06-02,Alpine,605,561,8,13
2021-06-03,Alpine,605,561,0,13
2021-06-04,Alpine,605,561,0,9
2021-06-05,Alpine,605,561,0,8
2021-06-06,Alpine,605,561,0,8
2021-06-07,Alpine,605,562,1,9
2021-06-08,Alpine,605,563,1,10
2021-06-09,Alpine,605,563,0,2
2021-06-10,Alpine,607,563,2,4
2021-06-11,Alpine,607,564,2,6
2021-06-12,Alpine,607,564,0,6
2021-06-13,Alpine,607,564,0,6
2021-06-14,Alpine,607,564,0,5
2021-06-15,Alpine,607,565,1,5
2021-06-16,Alpine,607,565,0,5
2021-06-17,Alpine,607,565,0,3
2021-06-18,Alpine,607,567,2,3
2021-06-19,Alpine,607,567,0,3
2021-06-20,Alpine,607,567,0,3
2021-06-21,Alpine,607,567,0,3
2021-06-22,Alpine,607,567,0,2
2021-06-23,Alpine,607,567,0,2
2021-06-24,Alpine,607,567,0,2
2021-06-25,Alpine,607,568,1,1
2021-06-26,Alpine,607,568,0,1
2021-06-27,Alpine,607,568,0,1
2021-06-28,Alpine,607,568,0,1
2021-06-29,Alpine,607,568,0,1
2021-06-30,Alpine,607,569,1,2
2021-04-01,Amador,14185,9481,628,2585
2021-04-02,Amador,14573,9744,638,2445
2021-04-03,Amador,14618,9810,93,2440
2021-04-04,Amador,14631,9847,44,2411
2021-04-05,Amador,14706,9953,166,2368
2021-04-06,Amador,14928,10267,520,2321
2021-04-07,Amador,15002,10345,130,2219
2021-04-08,Amador,15227,10663,513,2104
2021-04-09,Amador,15449,10955,495,1961
2021-04-10,Amador,15487,10998,74,1942
2021-04-11,Amador,15518,11032,60,1958
2021-04-12,Amador,15576,11111,123,1915
2021-04-13,Amador,15635,11419,369,1764
2021-04-14,Amador,15690,11662,300,1934
2021-04-15,Amador,15747,11957,355,1776
2021-04-16,Amador,16139,12082,518,1799
2021-04-17,Amador,16173,12128,80,1805
2021-04-18,Amador,16185,12161,45,1790
2021-04-19,Amador,16217,12215,86,1753
2021-04-20,Amador,16276,12589,435,1819
2021-04-21,Amador,16326,12642,107,1626
2021-04-22,Amador,16399,13063,511,1782
2021-04-23,Amador,16655,13154,352,1616
2021-04-24,Amador,16690,13187,68,1604
2021-04-25,Amador,16719,13202,44,1603
