date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2022-04-01,Alameda,1452706,1362828,4187,13876
2022-04-02,Alameda,1452826,1362951,2113,15230
2022-04-03,Alameda,1452911,1363017,1275,16115
2022-04-04,Alameda,1453068,1363200,4109,19121
2022-04-05,Alameda,1453304,1363393,4318,21985
2022-04-06,Alameda,1453543,1363625,4191,23493
2022-04-07,Alameda,1453747,1363836,4306,24499
2022-04-08,Alameda,1454049,1364160,5782,26094
2022-04-09,Alameda,1454183,1364260,2295,26276
2022-04-10,Alameda,1454281,1364343,1261,26262
2022-04-11,Alameda,1454488,1364535,4474,26627
2022-04-12,Alameda,1454724,1364730,5109,27418
2022-04-13,Alameda,1455012,1364967,4717,27944
2022-04-14,Alameda,1455247,1365208,4773,28411
2022-04-15,Alameda,1455536,1365498,5257,27886
2022-04-16,Alameda,1455670,1365619,1974,27565
2022-04-17,Alameda,1455710,1365647,498,26802
2022-04-18,Alameda,1455971,1365833,4211,26539
2022-04-19,Alameda,1456209,1366100,4280,25710
2022-04-20,Alameda,1456477,1366305,4389,25382
2022-04-21,Alameda,1456693,1366519,4249,24858
2022-04-22,Alameda,1456922,1366772,4237,23838
2022-04-23,Alameda,1457066,1366878,2002,23866
2022-04-24,Alameda,1457155,1366935,1009,24377
2022-04-25,Alameda,1457371,1367090,3814,23980
2022-04-26,Alameda,1457572,1367266,3694,23394
2022-04-27,Alameda,1457845,1367500,4037,23042
2022-04-28,Alameda,1458082,1367719,4612,23405
2022-04-29,Alameda,1458354,1368003,4849,24017
2022-04-30,Alameda,1458486,1368107,2032,24047
2022-05-01,Alameda,1458572,1368153,959,23997
2022-05-02,Alameda,1458763,1368324,3229,23412
2022-05-03,Alameda,1458923,1368501,3429,23147
2022-05-04,Alameda,1459138,1368708,3548,22658
2022-05-05,Alameda,1459343,1368919,3726,21772
2022-05-06,Alameda,1459659,1369208,4687,21610
2022-05-07,Alameda,1459782,1369314,1996,21574
2022-05-08,Alameda,1459827,1369347,682,21297
2022-05-09,Alameda,1460007,1369498,2999,21067
2022-05-10,Alameda,1460232,1369646,3411,21049
2022-05-11,Alameda,1460491,1369850,3619,21120
2022-05-12,Alameda,1460679,1370045,3699,21093
2022-05-13,Alameda,1460924,1370274,4279,20685
2022-05-14,Alameda,1461031,1370368,1922,20611
2022-05-15,Alameda,1461118,1370429,952,20881
2022-05-16,Alameda,1461295,1370583,3216,21098
2022-05-17,Alameda,1461504,1370769,3486,21173
2022-05-18,Alameda,1461740,1370995,3617,21171
2022-05-19,Alameda,1461961,1371188,3480,20952
2022-05-20,Alameda,1462233,1371412,4392,21065
2022-05-21,Alameda,1462338,1371539,2279,21422
2022-05-22,Alameda,1462436,1371619,1283,21753
2022-05-23,Alameda,1462654,1371786,3395,21932
2022-05-24,Alameda,1462849,1371950,3682,22128
2022-05-25,Alameda,1463051,1372177,3849,22360
2022-05-26,Alameda,1463258,1372337,3657,22537
2022-05-27,Alameda,1463518,1372640,5197,23342
2022-05-28,Alameda,1463613,1372754,2680,23743
2022-05-29,Alameda,1463674,1372808,1054,23514
2022-05-30,Alameda,1463689,1372826,207,20326
2022-05-31,Alameda,1463924,1373068,4347,20991
2022-06-01,Alameda,1464151,1373286,4145,21287
2022-06-02,Alameda,1464347,1373422,3571,21201
2022-06-03,Alameda,1464574,1373617,4407,20411
2022-06-04,Alameda,1464735,1373728,2538,20269
2022-06-05,Alameda,1464821,1373775,899,20114
2022-06-06,Alameda,1464993,1373937,3433,23340
2022-06-07,Alameda,1465247,1374118,3478,22471
2022-06-08,Alameda,1465470,1374329,3668,21994
2022-06-09,Alameda,1465637,1374465,3032,21455
2022-06-10,Alameda,1465887,1374668,3743,20791
2022-06-11,Alameda,1465997,1374748,1533,19786
2022-06-12,Alameda,1466068,1374793,674,19561
2022-06-13,Alameda,1466238,1374931,2440,18568
2022-06-14,Alameda,1466429,1375062,2535,17625
2022-06-15,Alameda,1466643,1375244,2802,16759
2022-06-16,Alameda,1466829,1375395,2460,16187
2022-06-17,Alameda,1467042,1375578,3323,15767
2022-06-18,Alameda,1467163,1375670,1182,15416
2022-06-19,Alameda,1467225,1375707,443,15185
2022-06-20,Alameda,1467420,1375796,2054,14799
2022-06-21,Alameda,1467888,1375925,2384,14648
2022-06-22,Alameda,1468507,1376076,2693,14539
2022-06-23,Alameda,1469408,1376212,2874,14953
2022-06-24,Alameda,1470517,1376408,3697,15327
2022-06-25,Alameda,1471462,1376503,1990,16135
2022-06-26,Alameda,1471709,1376544,653,16345
2022-06-27,Alameda,1472604,1376668,2658,16949
2022-06-28,Alameda,1473730,1376808,3017,17582
2022-06-29,Alameda,1474665,1376952,2847,17736
2022-06-30,Alameda,1475848,1377087,2863,17725
2022-04-01,Alpine,658,590,2,5
2022-04-02,Alpine,658,590,0,5
2022-04-03,Alpine,658,590,0,5
2022-04-04,Alpine,658,590,0,5
2022-04-05,Alpine,658,590,0,4
2022-04-06,Alpine,658,591,1,5
