date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2021-10-01,Alameda,1259057,1187103,7053,34303
2021-10-02,Alameda,1259610,1187829,3405,34982
2021-10-03,Alameda,1259881,1188153,1504,34787
2021-10-04,Alameda,1260679,1189078,5956,35819
2021-10-05,Alameda,1261486,1190073,5719,35935
2021-10-06,Alameda,1262208,1190914,5020,35011
2021-10-07,Alameda,1262990,1191837,5861,34518
2021-10-08,Alameda,1263868,1192965,6633,34098
2021-10-09,Alameda,1264308,1193543,3047,33740
2021-10-10,Alameda,1264573,1193828,1421,33657
2021-10-11,Alameda,1265268,1194716,5125,32826
2021-10-12,Alameda,1266037,1195664,5660,32767
2021-10-13,Alameda,1266734,1196488,4816,32563
2021-10-14,Alameda,1267464,1197423,5343,32045
2021-10-15,Alameda,1268363,1198540,6330,31742
2021-10-16,Alameda,1268856,1199124,2846,31541
2021-10-17,Alameda,1269130,1199439,1309,31429
2021-10-18,Alameda,1269817,1200275,4862,31166
2021-10-19,Alameda,1270499,1201126,5312,30818
2021-10-20,Alameda,1271184,1201770,4529,30531
2021-10-21,Alameda,1271878,1202672,5145,30333
2021-10-22,Alameda,1272773,1203737,7414,31417
2021-10-23,Alameda,1273238,1204286,3946,32517
2021-10-24,Alameda,1273403,1204536,1641,32849
2021-10-25,Alameda,1274052,1205293,6688,34675
2021-10-26,Alameda,1274810,1206193,8493,37856
2021-10-27,Alameda,1275609,1206955,9310,42637
2021-10-28,Alameda,1276280,1207788,9304,46796
2021-10-29,Alameda,1277057,1208677,10620,50002
2021-10-30,Alameda,1277486,1209166,4871,50927
2021-10-31,Alameda,1277691,1209412,2234,51520
2021-11-01,Alameda,1278446,1210141,7914,52746
2021-11-02,Alameda,1279216,1210983,9265,53518
2021-11-03,Alameda,1280247,1211734,9769,53977
2021-11-04,Alameda,1281207,1212569,10092,54765
2021-11-05,Alameda,1282936,1213561,12030,56175
2021-11-06,Alameda,1284988,1214056,6966,58270
2021-11-07,Alameda,1285876,1214283,2961,58997
2021-11-08,Alameda,1288427,1215053,9955,61038
2021-11-09,Alameda,1292222,1215801,11597,63370
2021-11-10,Alameda,1297097,1216580,13487,67088
2021-11-11,Alameda,1301950,1217242,13112,70108
2021-11-12,Alameda,1305884,1218126,13834,71912
2021-11-13,Alameda,1309348,1218611,8935,73881
2021-11-14,Alameda,1310928,1218789,3797,74717
2021-11-15,Alameda,1313464,1219540,10172,74934
2021-11-16,Alameda,1317007,1220306,12623,75960
2021-11-17,Alameda,1321040,1220961,13187,75660
2021-11-18,Alameda,1324227,1221680,11726,74274
2021-11-19,Alameda,1328169,1222490,13567,74007
2021-11-20,Alameda,1331505,1222962,8996,74068
2021-11-21,Alameda,1332440,1223158,3550,73821
2021-11-22,Alameda,1334916,1223879,11635,75284
2021-11-23,Alameda,1338626,1224676,14127,76788
2021-11-24,Alameda,1340955,1225499,11238,74839
2021-11-25,Alameda,1340986,1225516,192,63305
2021-11-26,Alameda,1342652,1226357,8999,58737
2021-11-27,Alameda,1343797,1227375,6766,56507
2021-11-28,Alameda,1344158,1228136,3130,56087
2021-11-29,Alameda,1345548,1230563,11273,55725
2021-11-30,Alameda,1347223,1233844,14206,55804
2021-12-01,Alameda,1349504,1238396,16511,61077
2021-12-02,Alameda,1351579,1242199,16478,77363
2021-12-03,Alameda,1353827,1246275,17562,85926
2021-12-04,Alameda,1355041,1249808,10948,90108
2021-12-05,Alameda,1355535,1251448,4709,91687
2021-12-06,Alameda,1357031,1253838,12913,93327
2021-12-07,Alameda,1358587,1257140,15033,94154
2021-12-08,Alameda,1360423,1261016,15925,93568
2021-12-09,Alameda,1362193,1263788,15401,92491
2021-12-10,Alameda,1364127,1267760,16535,91464
2021-12-11,Alameda,1365299,1271163,10770,91286
2021-12-12,Alameda,1365929,1272158,5547,92124
2021-12-13,Alameda,1367184,1274189,11819,91030
2021-12-14,Alameda,1368579,1277351,14849,90846
2021-12-15,Alameda,1370433,1279680,14990,89911
2021-12-16,Alameda,1372744,1280778,14587,89097
2021-12-17,Alameda,1374915,1282901,15497,88059
2021-12-18,Alameda,1376483,1284447,9423,86712
2021-12-19,Alameda,1377215,1284868,4612,85777
2021-12-20,Alameda,1378835,1286422,12972,86930
2021-12-21,Alameda,1380778,1288074,14676,86757
2021-12-22,Alameda,1382749,1289962,14539,86306
2021-12-23,Alameda,1384454,1291701,13447,85166
2021-12-24,Alameda,1384853,1292134,3411,73080
2021-12-25,Alameda,1384871,1292144,106,63763
2021-12-26,Alameda,1385412,1292486,3576,62727
2021-12-27,Alameda,1386731,1293974,10355,60110
2021-12-28,Alameda,1388801,1295960,13802,59236
2021-12-29,Alameda,1390673,1297677,12995,57692
2021-12-30,Alameda,1392354,1299182,12245,56490
2021-12-31,Alameda,1392799,1299709,3494,56573
2021-10-01,Alpine,626,577,1,15
2021-10-02,Alpine,626,577,0,13
2021-10-03,Alpine,626,577,0,13
2021-10-04,Alpine,626,577,0,12
2021-10-05,Alpine,627,577,2,13
2021-10-06,Alpine,627,577,0,5
