date,county,at_least_one_dose,fully_vaccinated,new_doses_administered
2021-03-29,Lake,18306,12654,1013
2021-03-29,Lassen,4726,2488,55
2021-03-29,Los Angeles,3171025,1794975,86688
2021-03-29,Madera,40817,22345,709
2021-03-29,Marin,123821,79193,2731
2021-03-29,Mariposa,5022,2615,20
2021-03-29,Mendocino,34908,24736,197
2021-03-29,Merced,66662,34945,1986
2021-03-29,Modoc,2404,1844,16
2021-03-29,Mono,6695,4093,13
2021-03-29,Monterey,133253,65834,3324
2021-03-29,Napa,59279,36984,1229
2021-03-29,Nevada,34552,20820,893
2021-03-29,Orange,1052832,573085,27290
2021-03-29,Placer,133137,85714,3575
2021-03-29,Plumas,6347,3404,12
2021-03-29,Riverside,635298,379905,18046
2021-03-29,Sacramento,456232,264352,11198
2021-03-29,San Benito,17150,9427,361
2021-03-29,San Bernardino,484188,291091,12264
2021-03-29,San Diego,1088829,696962,27150
2021-03-29,San Francisco,365039,216907,11894
2021-03-29,San Joaquin,186655,107002,4267
2021-03-29,San Luis Obispo,91934,54810,2708
2021-03-29,San Mateo,293244,190120,6173
2021-03-29,Santa Barbara,135626,73736,4097
2021-03-29,Santa Clara,609481,385980,21273
2021-03-29,Santa Cruz,99296,62839,1937
2021-03-29,Shasta,45497,28243,422
2021-03-29,Sierra,1180,826,1
2021-03-29,Siskiyou,12832,7730,93
2021-03-29,Solano,148046,85020,3698
2021-03-29,Sonoma,200142,126538,3060
2021-03-29,Stanislaus,140825,76742,3059
2021-03-29,Sutter,26700,16004,422
2021-03-29,Tehama,12893,7504,129
2021-03-29,Trinity,3103,1963,5
2021-03-29,Tulare,120471,61497,2932
2021-03-29,Tuolumne,18071,11510,217
2021-03-29,Ventura,282201,161893,8669
2021-03-29,Yolo,76364,46816,2043
2021-03-29,Yuba,14459,8179,310
2021-03-28,Alameda,565429,375930,10775
2021-03-28,Alpine,643,284,1
2021-03-28,Amador,13023,7673,67
2021-03-28,Butte,61689,39230,238
2021-03-28,Calaveras,13079,8755,111
2021-03-28,Colusa,5762,3292,17
