date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2022-01-01,Alameda,1394109,1301533,322,56881
2022-01-02,Alameda,1394425,1301805,2400,55703
2022-01-03,Alameda,1395656,1303006,9378,54691
2022-01-04,Alameda,1397353,1304463,11829,52708
2022-01-05,Alameda,1399109,1306069,12254,51935
2022-01-06,Alameda,1400777,1307828,12319,52009
2022-01-07,Alameda,1402752,1309873,14938,63440
2022-01-08,Alameda,1403834,1311393,8853,71971
2022-01-09,Alameda,1404426,1311867,3368,72939
2022-01-10,Alameda,1405673,1312891,9179,72740
2022-01-11,Alameda,1407250,1314297,11323,72234
2022-01-12,Alameda,1408953,1315640,12120,72100
2022-01-13,Alameda,1410698,1316993,11702,71483
2022-01-14,Alameda,1412414,1318177,12614,69159
2022-01-15,Alameda,1413315,1318631,6478,66784
2022-01-16,Alameda,1413910,1318971,3133,66549
2022-01-17,Alameda,1414815,1319542,6334,63704
2022-01-18,Alameda,1416214,1320974,9644,62025
2022-01-19,Alameda,1417605,1322383,10100,60005
2022-01-20,Alameda,1418947,1323504,9463,57766
2022-01-21,Alameda,1420359,1324483,10191,55343
2022-01-22,Alameda,1421192,1324907,5590,54455
2022-01-23,Alameda,1421715,1325154,2911,54233
2022-01-24,Alameda,1422655,1325900,6926,54825
2022-01-25,Alameda,1423766,1327041,7844,53025
2022-01-26,Alameda,1425136,1328276,8444,51369
2022-01-27,Alameda,1426308,1329429,7537,49443
2022-01-28,Alameda,1427596,1330873,9503,48755
2022-01-29,Alameda,1428259,1331523,5074,48239
2022-01-30,Alameda,1428545,1331785,1792,47120
2022-01-31,Alameda,1429394,1332624,5020,45214
2022-02-01,Alameda,1430257,1333653,5605,42975
2022-02-02,Alameda,1431336,1334929,6495,41026
2022-02-03,Alameda,1432214,1336032,5636,39125
2022-02-04,Alameda,1433319,1337378,7204,36826
2022-02-05,Alameda,1433823,1338033,3559,35311
2022-02-06,Alameda,1434118,1338416,1683,35202
2022-02-07,Alameda,1434735,1339096,3695,33877
2022-02-08,Alameda,1435469,1340049,4502,32774
2022-02-09,Alameda,1436336,1341109,4893,31172
2022-02-10,Alameda,1437074,1342093,4429,29965
2022-02-11,Alameda,1437962,1343202,5829,28590
2022-02-12,Alameda,1438415,1343779,3058,28089
2022-02-13,Alameda,1438662,1344083,1527,27933
2022-02-14,Alameda,1439064,1344533,2486,26724
2022-02-15,Alameda,1439642,1345261,3497,25719
2022-02-16,Alameda,1440233,1346165,3582,24408
2022-02-17,Alameda,1440832,1346927,3398,23377
2022-02-18,Alameda,1441528,1347943,4578,22126
2022-02-19,Alameda,1441836,1348380,2312,21380
2022-02-20,Alameda,1441988,1348606,1008,20861
2022-02-21,Alameda,1442239,1348958,1398,19773
2022-02-22,Alameda,1442666,1349646,2788,19064
2022-02-23,Alameda,1443155,1350365,2907,18389
2022-02-24,Alameda,1443572,1350922,2423,17414
2022-02-25,Alameda,1444165,1351833,4034,16870
2022-02-26,Alameda,1444430,1352158,1662,16220
2022-02-27,Alameda,1444559,1352314,752,15964
2022-02-28,Alameda,1444877,1352804,2220,16786
2022-03-01,Alameda,1445195,1353316,2140,16138
2022-03-02,Alameda,1445524,1353870,2011,15242
2022-03-03,Alameda,1445837,1354328,1812,14631
2022-03-04,Alameda,1446287,1355004,2833,13430
2022-03-05,Alameda,1446489,1355331,1263,13031
2022-03-06,Alameda,1446556,1355456,527,12806
2022-03-07,Alameda,1446829,1355743,1429,12015
2022-03-08,Alameda,1447126,1356103,1610,11485
2022-03-09,Alameda,1447472,1356595,1797,11271
2022-03-10,Alameda,1447753,1357040,1643,11102
2022-03-11,Alameda,1448102,1357613,2277,10546
2022-03-12,Alameda,1448259,1357861,1026,10309
2022-03-13,Alameda,1448347,1357959,466,10248
2022-03-14,Alameda,1448560,1358181,1179,9998
2022-03-15,Alameda,1448796,1358459,1299,9687
2022-03-16,Alameda,1449048,1358835,1466,9356
2022-03-17,Alameda,1449314,1359164,1477,9190
2022-03-18,Alameda,1449651,1359575,2091,9004
2022-03-19,Alameda,1449822,1359740,877,8855
2022-03-20,Alameda,1449899,1359807,393,8782
2022-03-21,Alameda,1450121,1360005,1182,8785
2022-03-22,Alameda,1450331,1360261,1254,8740
2022-03-23,Alameda,1450569,1360524,1291,8565
2022-03-24,Alameda,1450798,1360776,1293,8381
2022-03-25,Alameda,1451141,1361174,1999,8289
2022-03-26,Alameda,1451272,1361333,759,8171
2022-03-27,Alameda,1451339,1361388,389,8167
2022-03-28,Alameda,1451535,1361614,1101,8086
2022-03-29,Alameda,1451810,1361818,1455,8287
2022-03-30,Alameda,1452083,1362125,2681,9677
2022-03-31,Alameda,1452334,1362376,3298,11682
2022-01-01,Alpine,645,581,0,6
2022-01-02,Alpine,645,581,0,6
2022-01-03,Alpine,645,581,0,6
2022-01-04,Alpine,645,581,0,6
2022-01-05,Alpine,648,581,15,17
2022-01-06,Alpine,648,581,0,16
2022-01-07,Alpine,651,582,4,19
2022-01-08,Alpine,651,582,0,19
2022-01-09,Alpine,651,582,0,19
2022-01-10,Alpine,651,582,0,19
2022-01-11,Alpine,651,582,0,19
2022-01-12,Alpine,651,582,2,6
2022-01-13,Alpine,651,582,0,6
2022-01-14,Alpine,652,587,18,20
2022-01-15,Alpine,652,588,2,22
2022-01-16,Alpine,652,588,0,22
2022-01-17,Alpine,652,588,1,23
2022-01-18,Alpine,652,588,2,25
2022-01-19,Alpine,652,588,1,24
2022-01-20,Alpine,652,589,1,25
2022-01-21,Alpine,652,589,0,7
2022-01-22,Alpine,652,589,0,5
2022-01-23,Alpine,653,589,2,7
2022-01-24,Alpine,653,589,0,6
2022-01-25,Alpine,653,589,0,4
2022-01-26,Alpine,653,589,1,4
2022-01-27,Alpine,654,589,1,4
2022-01-28,Alpine,657,591,13,17
2022-01-29,Alpine,657,591,0,17
2022-01-30,Alpine,657,591,0,15
2022-01-31,Alpine,659,592,3,18
2022-02-01,Alpine,659,592,1,19
2022-02-02,Alpine,659,592,0,18
2022-02-03,Alpine,659,592,0,17
2022-02-04,Alpine,659,592,0,4
2022-02-05,Alpine,659,592,0,4
2022-02-06,Alpine,659,592,0,4
2022-02-07,Alpine,659,592,0,1
2022-02-08,Alpine,659,592,0,0
2022-02-09,Alpine,660,592,10,10
2022-02-10,Alpine,660,592,0,10
2022-02-11,Alpine,660,592,0,10
2022-02-12,Alpine,660,592,0,10
2022-02-13,Alpine,660,592,0,10
2022-02-14,Alpine,660,592,0,10
2022-02-15,Alpine,660,592,0,10
2022-02-16,Alpine,660,592,0,0
2022-02-17,Alpine,660,592,0,0
2022-02-18,Alpine,660,592,0,0
2022-02-19,Alpine,660,592,0,0
2022-02-20,Alpine,660,592,0,0
2022-02-21,Alpine,660,592,0,0
2022-02-22,Alpine,660,592,0,0
2022-02-23,Alpine,660,592,0,0
2022-02-24,Alpine,660,592,0,0
2022-02-25,Alpine,660,593,4,4
2022-02-26,Alpine,660,593,0,4
2022-02-27,Alpine,660,593,0,4
2022-02-28,Alpine,660,595,2,6
2022-03-01,Alpine,661,595,2,8
2022-03-02,Alpine,661,595,0,8
2022-03-03,Alpine,661,595,1,9
2022-03-04,Alpine,661,595,1,6
2022-03-05,Alpine,661,595,0,6
2022-03-06,Alpine,661,595,1,7
2022-03-07,Alpine,661,595,0,5
2022-03-08,Alpine,661,595,0,3
2022-03-09,Alpine,661,595,0,3
2022-03-10,Alpine,661,595,0,2
2022-03-11,Alpine,661,595,0,1
2022-03-12,Alpine,661,595,0,1
2022-03-13,Alpine,661,595,1,1
2022-03-14,Alpine,661,595,0,1
2022-03-15,Alpine,662,595,1,2
2022-03-16,Alpine,662,595,0,2
2022-03-17,Alpine,662,595,0,2
2022-03-18,Alpine,662,595,0,2
2022-03-19,Alpine,662,595,0,2
2022-03-20,Alpine,662,595,0,1
2022-03-21,Alpine,662,595,0,1
2022-03-22,Alpine,662,595,0,0
2022-03-23,Alpine,663,595,1,1
2022-03-24,Alpine,663,595,0,1
2022-03-25,Alpine,663,595,0,1
2022-03-26,Alpine,663,595,0,1
2022-03-27,Alpine,663,595,0,1
2022-03-28,Alpine,663,595,0,1
2022-03-29,Alpine,663,595,1,2
2022-03-30,Alpine,663,595,0,1
2022-03-31,Alpine,663,595,2,3
2022-01-01,Amador,22921,21246,5,399
2022-01-02,Amador,22947,21266,127,462
2022-01-03,Amador,22962,21278,97,516
2022-01-04,Amador,22982,21300,168,577
2022-01-05,Amador,22990,21308,94,602
2022-01-06,Amador,23007,21322,150,678
2022-01-07,Amador,23029,21339,167,808
2022-01-08,Amador,23040,21348,48,851
2022-01-09,Amador,23056,21353,106,830
2022-01-10,Amador,23070,21358,86,819
2022-01-11,Amador,23088,21372,126,777
2022-01-12,Amador,23090,21380,73,756
2022-01-13,Amador,23103,21395,148,754
2022-01-14,Amador,23135,21405,153,740
2022-01-15,Amador,23140,21411,41,733
2022-01-16,Amador,23152,21418,80,707
2022-01-17,Amador,23163,21422,58,679
2022-01-18,Amador,23177,21433,106,659
2022-01-19,Amador,23180,21438,58,644
2022-01-20,Amador,23190,21450,100,596
2022-01-21,Amador,23207,21459,109,552
2022-01-22,Amador,23215,21470,40,551
2022-01-23,Amador,23225,21485,48,519
2022-01-24,Amador,23235,21494,51,512
2022-01-25,Amador,23247,21504,76,482
2022-01-26,Amador,23252,21508,44,468
2022-01-27,Amador,23259,21515,79,447
2022-01-28,Amador,23277,21532,100,438
2022-01-29,Amador,23283,21537,27,425
2022-01-30,Amador,23284,21543,28,405
2022-01-31,Amador,23291,21558,50,404
2022-02-01,Amador,23296,21564,56,384
2022-02-02,Amador,23303,21566,44,384
2022-02-03,Amador,23309,21576,64,369
2022-02-04,Amador,23316,21587,73,342
2022-02-05,Amador,23320,21591,24,339
2022-02-06,Amador,23323,21595,20,331
2022-02-07,Amador,23328,21601,30,311
2022-02-08,Amador,23329,21609,30,285
2022-02-09,Amador,23332,21612,24,265
2022-02-10,Amador,23349,21621,60,261
2022-02-11,Amador,23358,21634,59,247
2022-02-12,Amador,23361,21637,21,244
2022-02-13,Amador,23361,21641,13,237
2022-02-14,Amador,23367,21645,24,231
2022-02-15,Amador,23377,21658,51,252
2022-02-16,Amador,23385,21662,33,261
2022-02-17,Amador,23390,21668,44,245
2022-02-18,Amador,23392,21681,48,234
2022-02-19,Amador,23392,21684,11,224
2022-02-20,Amador,23396,21691,16,227
2022-02-21,Amador,23399,21692,15,218
2022-02-22,Amador,23404,21695,32,199
2022-02-23,Amador,23409,21698,25,191
2022-02-24,Amador,23415,21705,54,201
2022-02-25,Amador,23420,21713,46,199
2022-02-26,Amador,23420,21716,12,200
2022-02-27,Amador,23421,21720,13,197
2022-02-28,Amador,23422,21723,29,211
2022-03-01,Amador,23431,21727,57,236
2022-03-02,Amador,23432,21734,22,233
2022-03-03,Amador,23437,21743,35,214
2022-03-04,Amador,23440,21751,33,201
2022-03-05,Amador,23442,21753,7,196
2022-03-06,Amador,23444,21754,7,190
2022-03-07,Amador,23446,21758,18,179
2022-03-08,Amador,23449,21760,22,144
2022-03-09,Amador,23450,21765,16,138
2022-03-10,Amador,23450,21770,19,122
2022-03-11,Amador,23455,21778,30,119
2022-03-12,Amador,23456,21778,8,120
2022-03-13,Amador,23457,21778,5,118
2022-03-14,Amador,23463,21779,21,121
2022-03-15,Amador,23467,21781,19,118
2022-03-16,Amador,23472,21787,20,122
2022-03-17,Amador,23476,21788,17,120
2022-03-18,Amador,23483,21797,38,128
2022-03-19,Amador,23484,21802,14,134
2022-03-20,Amador,23485,21802,3,132
2022-03-21,Amador,23487,21804,20,131
2022-03-22,Amador,23491,21811,18,130
2022-03-23,Amador,23492,21813,15,125
2022-03-24,Amador,23495,21818,22,130
2022-03-25,Amador,23497,21820,22,114
2022-03-26,Amador,23497,21823,6,106
2022-03-27,Amador,23500,21823,19,122
2022-03-28,Amador,23501,21827,16,118
2022-03-29,Amador,23505,21830,25,125
2022-03-30,Amador,23507,21831,15,125
2022-03-31,Amador,23508,21835,88,191
2022-01-01,Butte,121952,111859,36,3835
2022-01-02,Butte,121984,111895,197,3843
2022-01-03,Butte,122075,111987,590,3815
2022-01-04,Butte,122187,112076,729,3673
2022-01-05,Butte,122291,112172,732,3577
2022-01-06,Butte,122462,112347,989,3556
2022-01-07,Butte,122567,112450,795,4068
2022-01-08,Butte,122651,112488,383,4415
2022-01-09,Butte,122681,112511,174,4392
2022-01-10,Butte,122746,112568,457,4259
2022-01-11,Butte,122856,112711,882,4412
2022-01-12,Butte,122956,112807,732,4412
2022-01-13,Butte,123122,112963,827,4250
2022-01-14,Butte,123243,113048,757,4212
2022-01-15,Butte,123296,113072,303,4132
2022-01-16,Butte,123324,113092,159,4117
2022-01-17,Butte,123381,113152,453,4113
2022-01-18,Butte,123469,113215,683,3914
2022-01-19,Butte,123562,113287,614,3796
2022-01-20,Butte,123687,113421,723,3692
2022-01-21,Butte,123768,113488,619,3554
2022-01-22,Butte,123805,113522,289,3540
2022-01-23,Butte,123832,113542,158,3539
2022-01-24,Butte,123876,113598,323,3409
2022-01-25,Butte,123960,113680,573,3299
2022-01-26,Butte,124036,113742,508,3193
2022-01-27,Butte,124125,113854,549,3019
2022-01-28,Butte,124177,113932,504,2904
2022-01-29,Butte,124266,114015,372,2987
2022-01-30,Butte,124298,114040,123,2952
2022-01-31,Butte,124356,114101,328,2957
2022-02-01,Butte,124422,114147,379,2763
2022-02-02,Butte,124467,114226,313,2568
2022-02-03,Butte,124519,114328,396,2415
2022-02-04,Butte,124583,114396,392,2303
2022-02-05,Butte,124616,114435,215,2146
2022-02-06,Butte,124630,114459,89,2112
2022-02-07,Butte,124667,114497,281,2065
2022-02-08,Butte,124713,114555,254,1940
2022-02-09,Butte,124761,114622,324,1951
2022-02-10,Butte,124840,114722,426,1981
2022-02-11,Butte,124897,114778,355,1944
2022-02-12,Butte,124922,114795,102,1831
2022-02-13,Butte,124934,114815,83,1825
2022-02-14,Butte,124958,114843,204,1748
2022-02-15,Butte,125011,114881,261,1755
2022-02-16,Butte,125043,114930,299,1730
2022-02-17,Butte,125100,115034,413,1717
2022-02-18,Butte,125136,115085,281,1643
2022-02-19,Butte,125154,115123,159,1700
2022-02-20,Butte,125165,115145,92,1709
2022-02-21,Butte,125192,115198,215,1720
2022-02-22,Butte,125228,115246,278,1737
2022-02-23,Butte,125273,115287,315,1753
2022-02-24,Butte,125320,115381,427,1767
2022-02-25,Butte,125365,115428,315,1801
2022-02-26,Butte,125380,115461,186,1828
2022-02-27,Butte,125408,115487,229,1965
2022-02-28,Butte,125439,115530,341,2091
2022-03-01,Butte,125484,115584,260,2073
2022-03-02,Butte,125513,115620,214,1972
2022-03-03,Butte,125563,115697,338,1883
2022-03-04,Butte,125615,115758,347,1915
2022-03-05,Butte,125628,115772,81,1810
2022-03-06,Butte,125639,115781,71,1652
2022-03-07,Butte,125669,115812,166,1477
2022-03-08,Butte,125695,115838,137,1354
2022-03-09,Butte,125718,115858,139,1279
2022-03-10,Butte,125754,115908,285,1226
2022-03-11,Butte,125773,115961,269,1148
2022-03-12,Butte,125785,115967,55,1122
2022-03-13,Butte,125791,115981,49,1100
2022-03-14,Butte,125821,116015,208,1142
2022-03-15,Butte,125841,116039,189,1194
2022-03-16,Butte,125859,116061,143,1198
2022-03-17,Butte,125895,116093,163,1076
2022-03-18,Butte,125917,116128,147,954
2022-03-19,Butte,125929,116136,49,948
