date,county,confirmed_cases,reported_deaths
2021-09-24,Santa Clara,140649,1844
2021-09-24,Santa Cruz,19278,214
2021-09-24,Shasta,18566,262
2021-09-24,Sierra,128,0
2021-09-24,Siskiyou,2996,41
2021-09-24,Solano,43524,312
2021-09-24,Sonoma,39292,369
2021-09-24,Stanislaus,73199,1091
2021-09-24,Sutter,13031,154
2021-09-24,Tehama,7322,86
2021-09-24,Trinity,591,9
2021-09-24,Tulare,61542,898
2021-09-24,Tuolumne,6229,89
2021-09-24,Ventura,94382,1129
2021-09-24,Yolo,18496,239
2021-09-24,Yuba,9264,61
2021-09-23,Alameda,114523,1324
2021-09-23,Alpine,101,0
2021-09-23,Amador,4995,59
2021-09-23,Butte,18610,236
2021-09-23,Calaveras,3501,70
2021-09-23,Colusa,2389,16
2021-09-23,Contra Costa,94788,924
2021-09-23,Del Norte,3458,35
2021-09-23,El Dorado,14728,130
2021-09-23,Fresno,127154,1927
2021-09-23,Glenn,3179,25
2021-09-23,Humboldt,8085,88
2021-09-23,Imperial,31441,755
2021-09-23,Inyo,1682,39
2021-09-23,Kern,116849,1485
2021-09-23,Kings,28892,293
2021-09-23,Lake,6111,92
2021-09-23,Lassen,6317,25
2021-09-23,Los Angeles,1389685,25964
2021-09-23,Madera,20597,262
2021-09-23,Marin,16847,242
2021-09-23,Mariposa,925,5
2021-09-23,Mendocino,6740,74
2021-09-23,Merced,38695,546
2021-09-23,Modoc,465,5
2021-09-23,Mono,1515,3
2021-09-23,Monterey,46776,567
2021-09-23,Napa,12332,95
2021-09-23,Nevada,8344,84
2021-09-23,Orange,295935,5374
2021-09-23,Placer,33999,367
2021-09-23,Plumas,1253,6
2021-09-23,Riverside,344987,4843
2021-09-23,Sacramento,148630,2049
2021-09-23,San Benito,6999,67
2021-09-23,San Bernardino,339492,5540
2021-09-23,San Diego,354221,4039
2021-09-23,San Francisco,50044,615
2021-09-23,San Joaquin,93825,1628
2021-09-23,San Luis Obispo,27598,318
2021-09-23,San Mateo,51443,568
2021-09-23,Santa Barbara,41929,505
2021-09-23,Santa Clara,140546,1844
