date,county,confirmed_cases,reported_deaths
2021-06-30,Alameda,89826,1256
2021-06-30,Alpine,89,0
2021-06-30,Amador,3768,46
2021-06-30,Butte,12757,201
2021-06-30,Calaveras,2215,55
2021-06-30,Colusa,1966,15
2021-06-30,Contra Costa,71282,818
2021-06-30,Del Norte,1442,8
2021-06-30,El Dorado,10461,113
2021-06-30,Fresno,102828,1727
2021-06-30,Glenn,2438,20
2021-06-30,Humboldt,4547,49
2021-06-30,Imperial,28727,739
2021-06-30,Inyo,1415,35
2021-06-30,Kern,97449,1348
2021-06-30,Kings,23109,245
2021-06-30,Lake,3637,56
2021-06-30,Lassen,5279,20
2021-06-30,Los Angeles,1210368,24499
2021-06-30,Madera,16740,240
2021-06-30,Marin,14212,232
2021-06-30,Mariposa,441,5
2021-06-30,Mendocino,4199,49
2021-06-30,Merced,31313,469
2021-06-30,Modoc,414,4
2021-06-30,Mono,1254,3
2021-06-30,Monterey,43214,492
2021-06-30,Napa,10060,81
2021-06-30,Nevada,4987,72
2021-06-30,Orange,256200,5125
2021-06-30,Placer,23857,299
2021-06-30,Plumas,722,4
2021-06-30,Riverside,293061,4535
2021-06-30,Sacramento,108743,1676
2021-06-30,San Benito,6124,63
2021-06-30,San Bernardino,294404,4975
2021-06-30,San Diego,283331,3780
2021-06-30,San Francisco,37205,558
2021-06-30,San Joaquin,74082,1409
2021-06-30,San Luis Obispo,21372,256
2021-06-30,San Mateo,42864,537
2021-06-30,Santa Barbara,34669,456
2021-06-30,Santa Clara,119188,2090
2021-06-30,Santa Cruz,16284,208
2021-06-30,Shasta,12613,204
2021-06-30,Sierra,61,0
2021-06-30,Siskiyou,1953,29
2021-06-30,Solano,33580,268
2021-06-30,Sonoma,31142,316
2021-06-30,Stanislaus,57138,1018
2021-06-30,Sutter,9658,114
2021-06-30,Tehama,5122,63
2021-06-30,Trinity,372,3
2021-06-30,Tulare,49838,853
2021-06-30,Tuolumne,4134,64
2021-06-30,Ventura,81612,1032
2021-06-30,Yolo,14233,213
2021-06-30,Yuba,6225,51
2021-06-29,Alameda,89722,1257
2021-06-29,Alpine,89,0
2021-06-29,Amador,3764,46
2021-06-29,Butte,12749,201
2021-06-29,Calaveras,2210,55
2021-06-29,Colusa,1964,15
2021-06-29,Contra Costa,71208,817
2021-06-29,Del Norte,1441,8
2021-06-29,El Dorado,10448,113
2021-06-29,Fresno,102794,1725
2021-06-29,Glenn,2437,20
2021-06-29,Humboldt,4543,49
2021-06-29,Imperial,28718,737
2021-06-29,Inyo,1415,35
2021-06-29,Kern,97428,1347
2021-06-29,Kings,23100,245
2021-06-29,Lake,3631,56
2021-06-29,Lassen,5272,20
2021-06-29,Los Angeles,1209766,24498
2021-06-29,Madera,16735,240
2021-06-29,Marin,14200,232
2021-06-29,Mariposa,441,5
2021-06-29,Mendocino,4196,49
2021-06-29,Merced,31301,469
2021-06-29,Modoc,413,3
2021-06-29,Mono,1254,3
2021-06-29,Monterey,43204,471
2021-06-29,Napa,10054,81
2021-06-29,Nevada,4980,72
2021-06-29,Orange,256102,5124
2021-06-29,Placer,23838,299
2021-06-29,Plumas,722,4
2021-06-29,Riverside,292962,4524
2021-06-29,Sacramento,108590,1677
2021-06-29,San Benito,6113,63
2021-06-29,San Bernardino,294294,4940
2021-06-29,San Diego,283177,3780
2021-06-29,San Francisco,37167,558
2021-06-29,San Joaquin,74034,1409
2021-06-29,San Luis Obispo,21363,256
2021-06-29,San Mateo,42833,540
2021-06-29,Santa Barbara,34659,455
2021-06-29,Santa Clara,119133,2090
2021-06-29,Santa Cruz,16279,208
2021-06-29,Shasta,12601,204
2021-06-29,Sierra,61,0
2021-06-29,Siskiyou,1950,29
2021-06-29,Solano,33547,268
2021-06-29,Sonoma,31100,316
2021-06-29,Stanislaus,57110,1018
2021-06-29,Sutter,9647,114
2021-06-29,Tehama,5122,63
2021-06-29,Trinity,372,3
2021-06-29,Tulare,49825,852
2021-06-29,Tuolumne,4132,64
2021-06-29,Ventura,81576,1032
2021-06-29,Yolo,14221,213
2021-06-29,Yuba,6215,51
2021-06-28,Alameda,89629,1259
2021-06-28,Alpine,89,0
2021-06-28,Amador,3763,46
2021-06-28,Butte,12740,198
2021-06-28,Calaveras,2207,55
2021-06-28,Colusa,1963,15
2021-06-28,Contra Costa,71134,816
