date,county,cases,deaths,new_cases,new_deaths
2022-07-01,Alameda,311560,1898,5542,7
2022-07-02,Alameda,312042,1898,5448,7
2022-07-03,Alameda,312420,1898,5355,7
2022-07-04,Alameda,312978,1899,4832,4
2022-07-05,Alameda,314130,1899,5045,4
2022-07-06,Alameda,315117,1899,5184,4
2022-07-07,Alameda,315954,1912,5220,14
2022-07-08,Alameda,316760,1912,5200,14
2022-07-09,Alameda,317283,1912,5241,14
2022-07-10,Alameda,317772,1912,5352,14
2022-07-11,Alameda,318772,1911,5794,12
2022-07-12,Alameda,319693,1911,5563,12
2022-07-13,Alameda,320465,1911,5348,12
2022-07-14,Alameda,321171,1911,5217,-1
2022-07-15,Alameda,321937,1911,5177,-1
2022-07-16,Alameda,322400,1911,5117,-1
2022-07-17,Alameda,322818,1911,5046,-1
2022-07-18,Alameda,323723,1915,4951,4
2022-07-19,Alameda,324464,1915,4771,4
2022-07-20,Alameda,325139,1915,4674,4
2022-07-21,Alameda,325819,1933,4648,22
2022-07-22,Alameda,326494,1933,4557,22
2022-07-23,Alameda,326907,1933,4507,22
2022-07-24,Alameda,327320,1933,4502,22
2022-07-25,Alameda,328124,1938,4401,23
2022-07-26,Alameda,328845,1938,4381,23
2022-07-27,Alameda,329484,1938,4345,23
2022-07-28,Alameda,330012,1941,4193,8
2022-07-29,Alameda,330503,1941,4009,8
2022-07-30,Alameda,330864,1941,3957,8
2022-07-31,Alameda,331203,1941,3883,8
2022-08-01,Alameda,331941,1941,3817,3
2022-08-02,Alameda,332607,1941,3762,3
2022-08-03,Alameda,333150,1941,3666,3
2022-08-04,Alameda,333666,1945,3654,4
2022-08-05,Alameda,334132,1945,3629,4
2022-08-06,Alameda,334442,1945,3578,4
2022-08-07,Alameda,334692,1945,3489,4
2022-08-08,Alameda,335255,1944,3314,3
2022-08-09,Alameda,335717,1944,3110,3
2022-08-10,Alameda,336144,1944,2994,3
2022-08-11,Alameda,336546,1948,2880,3
2022-08-12,Alameda,336873,1948,2741,3
2022-08-13,Alameda,337125,1948,2683,3
2022-08-14,Alameda,337379,1948,2687,3
2022-08-15,Alameda,337845,1948,2590,4
2022-08-16,Alameda,338227,1948,2510,4
2022-08-17,Alameda,338601,1948,2457,4
2022-08-18,Alameda,338940,1970,2394,22
2022-08-19,Alameda,339238,1970,2365,22
2022-08-20,Alameda,339453,1970,2328,22
2022-08-21,Alameda,339670,1970,2291,22
2022-08-22,Alameda,340102,1976,2257,28
2022-08-23,Alameda,340472,1976,2245,28
2022-08-24,Alameda,340793,1976,2192,28
2022-08-25,Alameda,341103,1978,2163,8
2022-08-26,Alameda,341396,1978,2158,8
2022-08-27,Alameda,341569,1978,2116,8
2022-08-28,Alameda,341766,1978,2096,8
2022-08-29,Alameda,342092,1986,1990,10
2022-08-30,Alameda,342425,1986,1953,10
2022-08-31,Alameda,342671,1986,1878,10
2022-09-01,Alameda,342905,1998,1802,20
2022-09-02,Alameda,343144,1998,1748,20
2022-09-03,Alameda,343280,1998,1711,20
2022-09-04,Alameda,343406,1998,1640,20
