date,county,cases,deaths,new_cases,new_deaths
2022-04-01,Alameda,256325,1813,919,10
2022-04-02,Alameda,256441,1813,971,10
2022-04-03,Alameda,256543,1813,993,4
2022-04-04,Alameda,256798,1814,1062,6
2022-04-05,Alameda,257028,1814,1139,4
2022-04-06,Alameda,257240,1814,1225,2
2022-04-07,Alameda,257425,1826,1277,13
2022-04-08,Alameda,257619,1826,1294,13
2022-04-09,Alameda,257778,1826,1337,13
2022-04-10,Alameda,257954,1826,1411,13
2022-04-11,Alameda,258287,1826,1489,12
2022-04-12,Alameda,258579,1833,1551,19
2022-04-13,Alameda,258822,1833,1582,19
2022-04-14,Alameda,259074,1829,1649,3
2022-04-15,Alameda,259340,1829,1721,3
2022-04-16,Alameda,259522,1829,1744,3
2022-04-17,Alameda,259674,1829,1720,3
2022-04-18,Alameda,260066,1832,1779,6
2022-04-19,Alameda,260449,1832,1870,-1
2022-04-20,Alameda,260810,1832,1988,-1
2022-04-21,Alameda,261173,1837,2099,8
2022-04-22,Alameda,261531,1837,2191,8
2022-04-23,Alameda,261766,1837,2244,8
2022-04-24,Alameda,262010,1837,2336,8
2022-04-25,Alameda,262593,1843,2527,11
2022-04-26,Alameda,263103,1843,2654,11
2022-04-27,Alameda,263621,1843,2811,11
2022-04-28,Alameda,264102,1851,2929,14
2022-04-29,Alameda,264540,1851,3009,14
2022-04-30,Alameda,264851,1851,3085,14
2022-05-01,Alameda,265252,1851,3242,14
2022-05-02,Alameda,265954,1850,3361,7
2022-05-03,Alameda,266584,1850,3481,7
2022-05-04,Alameda,267199,1850,3578,7
2022-05-05,Alameda,267862,1855,3760,4
2022-05-06,Alameda,268449,1855,3909,4
2022-05-07,Alameda,268832,1855,3981,4
2022-05-08,Alameda,269209,1855,3957,4
2022-05-09,Alameda,270103,1853,4149,3
2022-05-10,Alameda,270874,1853,4290,3
2022-05-11,Alameda,271653,1853,4454,3
2022-05-12,Alameda,272365,1857,4503,2
2022-05-13,Alameda,273110,1857,4661,2
2022-05-14,Alameda,273588,1857,4756,2
2022-05-15,Alameda,274009,1857,4800,2
2022-05-16,Alameda,275079,1859,4976,6
2022-05-17,Alameda,276087,1859,5213,6
2022-05-18,Alameda,276919,1859,5266,6
2022-05-19,Alameda,277769,1858,5404,1
2022-05-20,Alameda,278608,1858,5498,1
2022-05-21,Alameda,279151,1858,5563,1
2022-05-22,Alameda,279613,1858,5604,1
2022-05-23,Alameda,280706,1860,5627,1
2022-05-24,Alameda,281645,1860,5558,1
2022-05-25,Alameda,282523,1860,5604,1
2022-05-26,Alameda,283425,1863,5656,5
2022-05-27,Alameda,284275,1863,5667,5
2022-05-28,Alameda,284749,1863,5598,5
2022-05-29,Alameda,285122,1863,5509,5
2022-05-30,Alameda,285602,1868,4896,8
2022-05-31,Alameda,286974,1868,5329,8
2022-06-01,Alameda,288078,1868,5555,8
2022-06-02,Alameda,289082,1873,5657,10
2022-06-03,Alameda,289981,1873,5706,10
2022-06-04,Alameda,290515,1873,5766,10
2022-06-05,Alameda,291016,1873,5894,10
2022-06-06,Alameda,292067,1873,6465,5
2022-06-07,Alameda,292949,1873,5975,5
2022-06-08,Alameda,293760,1873,5682,5
2022-06-09,Alameda,294519,1877,5437,4
2022-06-10,Alameda,295430,1877,5449,4
2022-06-11,Alameda,295903,1877,5388,4
2022-06-12,Alameda,296317,1877,5301,4
2022-06-13,Alameda,297135,1880,5068,7
2022-06-14,Alameda,297958,1880,5009,7
2022-06-15,Alameda,298653,1880,4893,7
2022-06-16,Alameda,299433,1883,4914,6
2022-06-17,Alameda,300215,1883,4785,6
2022-06-18,Alameda,300685,1883,4782,6
2022-06-19,Alameda,301150,1883,4833,6
2022-06-20,Alameda,302078,1888,4943,8
2022-06-21,Alameda,302977,1888,5019,8
2022-06-22,Alameda,303775,1888,5122,8
2022-06-23,Alameda,304600,1891,5167,8
2022-06-24,Alameda,305416,1891,5201,8
2022-06-25,Alameda,305988,1891,5303,8
2022-06-26,Alameda,306456,1891,5306,8
2022-06-27,Alameda,307534,1895,5456,7
2022-06-28,Alameda,308467,1895,5490,7
2022-06-29,Alameda,309308,1895,5533,7
2022-06-30,Alameda,310106,1898,5506,7
2022-04-01,Alpine,124,0,0,0
2022-04-02,Alpine,124,0,0,0
2022-04-03,Alpine,124,0,0,0
2022-04-04,Alpine,124,0,0,0
2022-04-05,Alpine,124,0,0,0
