date,county,cases,deaths,new_cases,new_deaths
2021-01-01,Alameda,56896,579,5778,37
2021-01-02,Alameda,57540,581,5863,30
2021-01-03,Alameda,58149,580,5866,29
2021-01-04,Alameda,59382,583,5860,32
2021-01-05,Alameda,60624,602,6067,50
2021-01-06,Alameda,61779,616,6164,43
2021-01-07,Alameda,62642,632,6267,53
2021-01-08,Alameda,63574,646,6678,67
2021-01-09,Alameda,64112,649,6572,68
2021-01-10,Alameda,64618,650,6469,70
2021-01-11,Alameda,65590,652,6208,69
2021-01-12,Alameda,66441,677,5817,75
2021-01-13,Alameda,67249,690,5470,74
2021-01-14,Alameda,67994,686,5352,54
2021-01-15,Alameda,68630,672,5056,26
2021-01-16,Alameda,69051,673,4939,24
2021-01-17,Alameda,69357,676,4739,26
2021-01-18,Alameda,69931,680,4341,28
2021-01-19,Alameda,70613,680,4172,3
2021-01-20,Alameda,71276,702,4027,12
2021-01-21,Alameda,71796,739,3802,53
2021-01-22,Alameda,72238,751,3608,79
2021-01-23,Alameda,72564,780,3513,107
2021-01-24,Alameda,72807,780,3450,104
2021-01-25,Alameda,73313,780,3382,100
2021-01-26,Alameda,73753,789,3140,109
2021-01-27,Alameda,74135,815,2859,113
2021-01-28,Alameda,74567,833,2771,94
2021-01-29,Alameda,75004,841,2766,90
2021-01-30,Alameda,75282,850,2718,70
2021-01-31,Alameda,75485,857,2678,77
2021-02-01,Alameda,75913,858,2600,78
2021-02-02,Alameda,76268,869,2515,80
2021-02-03,Alameda,76613,880,2478,65
2021-02-04,Alameda,76947,899,2380,66
2021-02-05,Alameda,77232,916,2228,75
2021-02-06,Alameda,77458,922,2176,72
2021-02-07,Alameda,77616,924,2131,67
2021-02-08,Alameda,77919,924,2006,66
2021-02-09,Alameda,78187,936,1919,67
2021-02-10,Alameda,78452,944,1839,64
2021-02-11,Alameda,78656,960,1709,61
2021-02-12,Alameda,78884,974,1652,58
2021-02-13,Alameda,79019,995,1561,73
2021-02-14,Alameda,79137,995,1521,71
2021-02-15,Alameda,79294,996,1375,72
2021-02-16,Alameda,79494,997,1307,61
2021-02-17,Alameda,79668,1002,1216,58
2021-02-18,Alameda,79830,1012,1174,52
2021-02-19,Alameda,79977,1047,1093,73
2021-02-20,Alameda,80084,1055,1065,60
2021-02-21,Alameda,80177,1061,1040,66
2021-02-22,Alameda,80375,1062,1081,66
2021-02-23,Alameda,80527,1070,1033,73
2021-02-24,Alameda,80665,1082,997,80
2021-02-25,Alameda,80788,1093,958,81
2021-02-26,Alameda,80909,1106,932,59
2021-02-27,Alameda,81004,1108,920,53
2021-02-28,Alameda,81078,1105,901,44
2021-03-01,Alameda,81201,1105,826,43
2021-03-02,Alameda,81327,1116,800,46
2021-03-03,Alameda,81445,1127,780,45
2021-03-04,Alameda,81565,1136,777,43
2021-03-05,Alameda,81677,1141,768,35
2021-03-06,Alameda,81764,1143,760,35
2021-03-07,Alameda,81818,1145,740,40
2021-03-08,Alameda,81937,1142,736,37
2021-03-09,Alameda,82051,1151,724,35
2021-03-10,Alameda,82136,1160,691,33
2021-03-11,Alameda,82244,1164,679,28
2021-03-12,Alameda,82337,1164,660,23
2021-03-13,Alameda,82415,1168,651,25
2021-03-14,Alameda,82475,1168,657,23
2021-03-15,Alameda,82561,1167,624,25
2021-03-16,Alameda,82649,1177,598,26
2021-03-17,Alameda,82764,1185,628,25
2021-03-18,Alameda,82840,1189,596,25
2021-03-19,Alameda,82924,1187,587,23
2021-03-20,Alameda,82997,1178,582,10
2021-03-21,Alameda,83066,1187,591,19
2021-03-22,Alameda,83154,1189,593,22
2021-03-23,Alameda,83246,1190,597,13
2021-03-24,Alameda,83348,1199,584,14
2021-03-25,Alameda,83443,1206,603,17
2021-03-26,Alameda,83541,1208,617,21
2021-03-27,Alameda,83603,1211,606,33
2021-03-28,Alameda,83675,1212,609,25
2021-03-29,Alameda,83797,1211,643,22
2021-03-30,Alameda,83898,1211,652,21
2021-03-31,Alameda,83998,1215,650,16
2021-01-01,Alpine,70,0,3,0
2021-01-02,Alpine,70,0,3,0
2021-01-03,Alpine,70,0,3,0
2021-01-04,Alpine,72,0,3,0
2021-01-05,Alpine,72,0,2,0
2021-01-06,Alpine,72,0,2,0
2021-01-07,Alpine,72,0,2,0
2021-01-08,Alpine,74,0,4,0
2021-01-09,Alpine,74,0,4,0
2021-01-10,Alpine,74,0,4,0
2021-01-11,Alpine,74,0,2,0
2021-01-12,Alpine,74,0,2,0
2021-01-13,Alpine,74,0,2,0
2021-01-14,Alpine,74,0,2,0
2021-01-15,Alpine,74,0,0,0
2021-01-16,Alpine,74,0,0,0
2021-01-17,Alpine,74,0,0,0
2021-01-18,Alpine,74,0,0,0
2021-01-19,Alpine,74,0,0,0
2021-01-20,Alpine,74,0,0,0
2021-01-21,Alpine,74,0,0,0
2021-01-22,Alpine,74,0,0,0
2021-01-23,Alpine,74,0,0,0
2021-01-24,Alpine,74,0,0,0
2021-01-25,Alpine,74,0,0,0
2021-01-26,Alpine,74,0,0,0
2021-01-27,Alpine,74,0,0,0
2021-01-28,Alpine,74,0,0,0
2021-01-29,Alpine,74,0,0,0
2021-01-30,Alpine,74,0,0,0
2021-01-31,Alpine,74,0,0,0
2021-02-01,Alpine,74,0,0,0
2021-02-02,Alpine,74,0,0,0
2021-02-03,Alpine,74,0,0,0
2021-02-04,Alpine,74,0,0,0
2021-02-05,Alpine,75,0,1,0
2021-02-06,Alpine,75,0,1,0
2021-02-07,Alpine,75,0,1,0
2021-02-08,Alpine,78,0,4,0
2021-02-09,Alpine,78,0,4,0
2021-02-10,Alpine,78,0,4,0
2021-02-11,Alpine,78,0,4,0
2021-02-12,Alpine,79,0,4,0
2021-02-13,Alpine,79,0,4,0
2021-02-14,Alpine,79,0,4,0
2021-02-15,Alpine,79,0,1,0
2021-02-16,Alpine,79,0,1,0
2021-02-17,Alpine,79,0,1,0
2021-02-18,Alpine,79,0,1,0
2021-02-19,Alpine,79,0,0,0
2021-02-20,Alpine,79,0,0,0
2021-02-21,Alpine,79,0,0,0
2021-02-22,Alpine,79,0,0,0
2021-02-23,Alpine,79,0,0,0
2021-02-24,Alpine,80,0,1,0
2021-02-25,Alpine,81,0,2,0
2021-02-26,Alpine,81,0,2,0
2021-02-27,Alpine,81,0,2,0
2021-02-28,Alpine,81,0,2,0
2021-03-01,Alpine,81,0,2,0
2021-03-02,Alpine,83,0,4,0
2021-03-03,Alpine,83,0,3,0
2021-03-04,Alpine,83,0,2,0
2021-03-05,Alpine,83,0,2,0
2021-03-06,Alpine,83,0,2,0
2021-03-07,Alpine,83,0,2,0
2021-03-08,Alpine,83,0,2,0
2021-03-09,Alpine,83,0,0,0
2021-03-10,Alpine,83,0,0,0
2021-03-11,Alpine,84,0,1,0
2021-03-12,Alpine,84,0,1,0
2021-03-13,Alpine,84,0,1,0
2021-03-14,Alpine,84,0,1,0
2021-03-15,Alpine,84,0,1,0
2021-03-16,Alpine,84,0,1,0
2021-03-17,Alpine,84,0,1,0
2021-03-18,Alpine,84,0,0,0
2021-03-19,Alpine,84,0,0,0
2021-03-20,Alpine,85,0,1,0
2021-03-21,Alpine,85,0,1,0
2021-03-22,Alpine,85,0,1,0
2021-03-23,Alpine,86,0,2,0
2021-03-24,Alpine,86,0,2,0
2021-03-25,Alpine,86,0,2,0
2021-03-26,Alpine,86,0,2,0
2021-03-27,Alpine,86,0,1,0
2021-03-28,Alpine,86,0,1,0
2021-03-29,Alpine,86,0,1,0
2021-03-30,Alpine,86,0,0,0
2021-03-31,Alpine,86,0,0,0
2021-01-01,Amador,2728,24,334,1
2021-01-02,Amador,2754,24,317,1
2021-01-03,Amador,2773,24,322,1
2021-01-04,Amador,2837,24,265,1
2021-01-05,Amador,2877,24,235,1
2021-01-06,Amador,2917,24,223,0
2021-01-07,Amador,2938,24,224,0
2021-01-08,Amador,2951,24,223,0
2021-01-09,Amador,2958,24,204,0
2021-01-10,Amador,2965,24,192,0
2021-01-11,Amador,2989,24,152,0
2021-01-12,Amador,3003,26,126,2
2021-01-13,Amador,3020,26,103,2
2021-01-14,Amador,3034,28,96,4
2021-01-15,Amador,3040,28,89,4
2021-01-16,Amador,3047,28,89,4
2021-01-17,Amador,3050,28,85,4
2021-01-18,Amador,3057,28,68,4
2021-01-19,Amador,3071,28,68,2
2021-01-20,Amador,3080,29,60,3
2021-01-21,Amador,3111,29,77,1
2021-01-22,Amador,3133,30,93,2
2021-01-23,Amador,3138,30,91,2
2021-01-24,Amador,3141,30,91,2
2021-01-25,Amador,3174,30,117,2
2021-01-26,Amador,3214,31,143,3
2021-01-27,Amador,3225,31,145,2
2021-01-28,Amador,3241,31,130,2
2021-01-29,Amador,3278,32,145,2
2021-01-30,Amador,3290,32,152,2
2021-01-31,Amador,3294,32,153,2
2021-02-01,Amador,3304,32,130,2
2021-02-02,Amador,3315,33,101,2
2021-02-03,Amador,3346,33,121,2
2021-02-04,Amador,3350,33,109,2
2021-02-05,Amador,3353,33,75,1
2021-02-06,Amador,3358,33,68,1
2021-02-07,Amador,3364,33,70,1
2021-02-08,Amador,3385,33,81,1
2021-02-09,Amador,3392,35,77,2
2021-02-10,Amador,3400,35,54,2
2021-02-11,Amador,3412,35,62,2
2021-02-12,Amador,3416,38,63,5
2021-02-13,Amador,3420,38,62,5
2021-02-14,Amador,3423,39,59,6
2021-02-15,Amador,3428,39,43,6
2021-02-16,Amador,3432,39,40,4
2021-02-17,Amador,3439,38,39,3
2021-02-18,Amador,3443,38,31,3
2021-02-19,Amador,3447,39,31,1
2021-02-20,Amador,3451,39,31,1
2021-02-21,Amador,3453,39,30,0
2021-02-22,Amador,3461,39,33,0
2021-02-23,Amador,3466,41,34,2
2021-02-24,Amador,3468,41,29,3
2021-02-25,Amador,3473,41,30,3
2021-02-26,Amador,3476,42,29,3
2021-02-27,Amador,3482,42,31,3
2021-02-28,Amador,3484,42,31,3
2021-03-01,Amador,3489,42,28,3
2021-03-02,Amador,3492,42,26,1
2021-03-03,Amador,3494,42,26,1
2021-03-04,Amador,3496,42,23,1
2021-03-05,Amador,3497,42,21,0
2021-03-06,Amador,3498,42,16,0
2021-03-07,Amador,3502,42,18,0
2021-03-08,Amador,3505,42,16,0
2021-03-09,Amador,3508,42,16,0
2021-03-10,Amador,3510,42,16,0
2021-03-11,Amador,3512,42,16,0
2021-03-12,Amador,3513,44,16,2
2021-03-13,Amador,3516,44,18,2
2021-03-14,Amador,3519,44,17,2
2021-03-15,Amador,3524,44,19,2
2021-03-16,Amador,3525,44,17,2
2021-03-17,Amador,3527,44,17,2
2021-03-18,Amador,3529,44,17,2
2021-03-19,Amador,3533,44,20,0
2021-03-20,Amador,3536,44,20,0
2021-03-21,Amador,3538,44,19,0
2021-03-22,Amador,3542,44,18,0
2021-03-23,Amador,3550,45,25,1
2021-03-24,Amador,3556,45,29,1
2021-03-25,Amador,3562,45,33,1
2021-03-26,Amador,3564,45,31,1
2021-03-27,Amador,3569,45,33,1
2021-03-28,Amador,3574,45,36,1
2021-03-29,Amador,3578,45,36,1
2021-03-30,Amador,3584,45,34,0
2021-03-31,Amador,3587,45,31,0
2021-01-01,Butte,8345,105,914,20
2021-01-02,Butte,8446,105,918,19
2021-01-03,Butte,8554,105,932,19
2021-01-04,Butte,8744,105,968,19
2021-01-05,Butte,8902,107,960,9
2021-01-06,Butte,9041,110,928,7
2021-01-07,Butte,9152,112,880,7
2021-01-08,Butte,9248,115,903,10
2021-01-09,Butte,9307,118,861,13
2021-01-10,Butte,9388,119,834,14
2021-01-11,Butte,9505,119,761,14
2021-01-12,Butte,9617,124,715,17
2021-01-13,Butte,9701,126,660,16
2021-01-14,Butte,9780,129,628,17
2021-01-15,Butte,9864,129,616,14
2021-01-16,Butte,9902,129,595,11
2021-01-17,Butte,9932,129,544,10
2021-01-18,Butte,10004,129,499,10
2021-01-19,Butte,10091,129,474,5
2021-01-20,Butte,10156,130,455,4
2021-01-21,Butte,10213,130,433,1
2021-01-22,Butte,10284,133,420,4
2021-01-23,Butte,10333,133,431,4
2021-01-24,Butte,10363,133,431,4
2021-01-25,Butte,10447,133,443,4
2021-01-26,Butte,10512,136,421,7
2021-01-27,Butte,10554,138,398,8
2021-01-28,Butte,10593,138,380,8
2021-01-29,Butte,10634,138,350,5
2021-01-30,Butte,10665,139,332,6
2021-01-31,Butte,10700,140,337,7
2021-02-01,Butte,10742,141,295,8
2021-02-02,Butte,10784,141,272,5
2021-02-03,Butte,10811,144,257,6
2021-02-04,Butte,10847,147,254,9
2021-02-05,Butte,10879,150,245,12
2021-02-06,Butte,10897,150,232,11
2021-02-07,Butte,10914,152,214,12
