date,county,confirmed_cases,reported_deaths
2021-03-31,Alameda,83951,1215
2021-03-31,Alpine,86,0
2021-03-31,Amador,3586,45
2021-03-31,Butte,11644,193
2021-03-31,Calaveras,2008,50
2021-03-31,Colusa,1887,14
2021-03-31,Contra Costa,65876,769
2021-03-31,Del Norte,1179,6
2021-03-31,El Dorado,9440,106
2021-03-31,Fresno,99326,1616
2021-03-31,Glenn,2338,17
2021-03-31,Humboldt,3462,35
2021-03-31,Imperial,27602,710
2021-03-31,Inyo,1376,35
2021-03-31,Kern,94995,1229
2021-03-31,Kings,22614,239
2021-03-31,Lake,3359,43
2021-03-31,Lassen,5128,1
2021-03-31,Los Angeles,1185612,23171
2021-03-31,Madera,16091,229
2021-03-31,Marin,13650,221
2021-03-31,Mariposa,394,5
2021-03-31,Mendocino,3751,45
2021-03-31,Merced,29888,423
2021-03-31,Modoc,355,3
2021-03-31,Mono,1226,3
2021-03-31,Monterey,42447,338
2021-03-31,Napa,9464,78
2021-03-31,Nevada,4361,68
2021-03-31,Orange,250672,4731
2021-03-31,Placer,21586,271
2021-03-31,Plumas,671,4
2021-03-31,Riverside,286808,4171
2021-03-31,Sacramento,99162,1519
2021-03-31,San Benito,5876,61
2021-03-31,San Bernardino,288602,4356
2021-03-31,San Diego,271224,3555
2021-03-31,San Francisco,35324,474
2021-03-31,San Joaquin,69748,1259
2021-03-31,San Luis Obispo,20390,251
2021-03-31,San Mateo,40859,350
2021-03-31,Santa Barbara,33466,443
2021-03-31,Santa Clara,113982,1874
2021-03-31,Santa Cruz,15790,201
2021-03-31,Shasta,11338,179
2021-03-31,Sierra,53,0
2021-03-31,Siskiyou,1556,7
2021-03-31,Solano,30944,235
2021-03-31,Sonoma,29132,311
2021-03-31,Stanislaus,53062,687
2021-03-31,Sutter,9130,106
2021-03-31,Tehama,4779,52
2021-03-31,Trinity,357,3
2021-03-31,Tulare,48695,816
2021-03-31,Tuolumne,3974,57
2021-03-31,Ventura,79605,969
2021-03-31,Yolo,13369,197
2021-03-31,Yuba,5725,44
2021-03-30,Alameda,83851,1211
2021-03-30,Alpine,86,0
2021-03-30,Amador,3583,45
2021-03-30,Butte,11631,193
2021-03-30,Calaveras,2004,50
2021-03-30,Colusa,1886,14
2021-03-30,Contra Costa,65788,767
2021-03-30,Del Norte,1171,6
2021-03-30,El Dorado,9421,105
2021-03-30,Fresno,99263,1609
2021-03-30,Glenn,2338,17
2021-03-30,Humboldt,3459,35
2021-03-30,Imperial,27573,706
2021-03-30,Inyo,1376,35
2021-03-30,Kern,94954,1221
2021-03-30,Kings,22610,238
2021-03-30,Lake,3353,43
2021-03-30,Lassen,5128,1
2021-03-30,Los Angeles,1185122,23136
2021-03-30,Madera,16081,229
2021-03-30,Marin,13641,221
2021-03-30,Mariposa,394,5
2021-03-30,Mendocino,3749,45
2021-03-30,Merced,29852,423
2021-03-30,Modoc,354,3
2021-03-30,Mono,1225,3
2021-03-30,Monterey,42421,338
2021-03-30,Napa,9449,78
2021-03-30,Nevada,4349,68
2021-03-30,Orange,250544,4727
2021-03-30,Placer,21546,271
2021-03-30,Plumas,671,4
2021-03-30,Riverside,286689,4154
2021-03-30,Sacramento,99026,1516
2021-03-30,San Benito,5870,61
2021-03-30,San Bernardino,288493,4343
2021-03-30,San Diego,270987,3555
2021-03-30,San Francisco,35274,474
2021-03-30,San Joaquin,69661,1232
2021-03-30,San Luis Obispo,20370,251
2021-03-30,San Mateo,40814,349
2021-03-30,Santa Barbara,33441,441
2021-03-30,Santa Clara,113859,1873
2021-03-30,Santa Cruz,15784,201
2021-03-30,Shasta,11330,184
2021-03-30,Sierra,53,0
2021-03-30,Siskiyou,1555,7
2021-03-30,Solano,30915,232
2021-03-30,Sonoma,29100,311
2021-03-30,Stanislaus,52984,677
2021-03-30,Sutter,9126,106
2021-03-30,Tehama,4770,52
2021-03-30,Trinity,357,3
2021-03-30,Tulare,48682,815
2021-03-30,Tuolumne,3969,57
2021-03-30,Ventura,79561,958
2021-03-30,Yolo,13356,195
2021-03-30,Yuba,5714,42
2021-03-29,Alameda,83749,1211
2021-03-29,Alpine,86,0
2021-03-29,Amador,3577,45
2021-03-29,Butte,11622,191
2021-03-29,Calaveras,2000,50
2021-03-29,Colusa,1886,14
2021-03-29,Contra Costa,65720,767
2021-03-29,Del Norte,1166,6
2021-03-29,El Dorado,9401,105
2021-03-29,Fresno,99180,1606
2021-03-29,Glenn,2332,17
2021-03-29,Humboldt,3454,34
2021-03-29,Imperial,27553,704
2021-03-29,Inyo,1376,35
2021-03-29,Kern,94907,1220
2021-03-29,Kings,22598,238
2021-03-29,Lake,3350,43
2021-03-29,Lassen,5128,1
2021-03-29,Los Angeles,1184632,23108
2021-03-29,Madera,16061,210
2021-03-29,Marin,13629,220
2021-03-29,Mariposa,393,5
2021-03-29,Mendocino,3746,45
2021-03-29,Merced,29828,422
2021-03-29,Modoc,353,3
2021-03-29,Mono,1224,3
2021-03-29,Monterey,42405,337
2021-03-29,Napa,9433,78
2021-03-29,Nevada,4342,68
2021-03-29,Orange,250431,4713
2021-03-29,Placer,21511,267
2021-03-29,Plumas,670,4
2021-03-29,Riverside,286600,4133
2021-03-29,Sacramento,98833,1514
2021-03-29,San Benito,5863,61
2021-03-29,San Bernardino,288393,4335
2021-03-29,San Diego,270721,3547
2021-03-29,San Francisco,35241,474
2021-03-29,San Joaquin,69575,1211
2021-03-29,San Luis Obispo,20335,250
2021-03-29,San Mateo,40772,348
2021-03-29,Santa Barbara,33407,439
2021-03-29,Santa Clara,113753,1871
2021-03-29,Santa Cruz,15773,201
2021-03-29,Shasta,11312,183
2021-03-29,Sierra,53,0
2021-03-29,Siskiyou,1554,6
2021-03-29,Solano,30876,232
2021-03-29,Sonoma,29076,310
2021-03-29,Stanislaus,52900,677
2021-03-29,Sutter,9119,106
2021-03-29,Tehama,4762,52
2021-03-29,Trinity,357,3
2021-03-29,Tulare,48655,815
2021-03-29,Tuolumne,3967,57
2021-03-29,Ventura,79520,956
2021-03-29,Yolo,13338,195
2021-03-29,Yuba,5707,42
2021-03-28,Alameda,83627,1212
2021-03-28,Alpine,86,0
2021-03-28,Amador,3573,45
2021-03-28,Butte,11609,191
2021-03-28,Calaveras,1997,50
2021-03-28,Colusa,1885,14
2021-03-28,Contra Costa,65646,767
2021-03-28,Del Norte,1159,6
2021-03-28,El Dorado,9386,105
2021-03-28,Fresno,99098,1606
2021-03-28,Glenn,2329,17
2021-03-28,Humboldt,3451,34
2021-03-28,Imperial,27525,704
2021-03-28,Inyo,1375,35
2021-03-28,Kern,94865,1219
2021-03-28,Kings,22594,238
2021-03-28,Lake,3345,43
2021-03-28,Lassen,5128,1
2021-03-28,Los Angeles,1184082,23101
2021-03-28,Madera,16046,210
2021-03-28,Marin,13616,221
2021-03-28,Mariposa,393,5
2021-03-28,Mendocino,3744,45
2021-03-28,Merced,29771,422
2021-03-28,Modoc,353,3
2021-03-28,Mono,1223,3
2021-03-28,Monterey,42382,337
2021-03-28,Napa,9419,78
2021-03-28,Nevada,4328,68
2021-03-28,Orange,250278,4713
2021-03-28,Placer,21468,267
2021-03-28,Plumas,668,4
2021-03-28,Riverside,286497,4132
2021-03-28,Sacramento,98659,1514
2021-03-28,San Benito,5858,61
2021-03-28,San Bernardino,288275,4332
2021-03-28,San Diego,270448,3547
2021-03-28,San Francisco,35194,474
2021-03-28,San Joaquin,69450,1211
2021-03-28,San Luis Obispo,20300,250
2021-03-28,San Mateo,40727,348
2021-03-28,Santa Barbara,33368,439
2021-03-28,Santa Clara,113654,1871
2021-03-28,Santa Cruz,15759,201
2021-03-28,Shasta,11286,183
2021-03-28,Sierra,53,0
2021-03-28,Siskiyou,1554,6
2021-03-28,Solano,30839,232
2021-03-28,Sonoma,29041,310
2021-03-28,Stanislaus,52815,678
2021-03-28,Sutter,9110,106
2021-03-28,Tehama,4753,52
2021-03-28,Trinity,355,3
2021-03-28,Tulare,48626,815
2021-03-28,Tuolumne,3965,57
2021-03-28,Ventura,79468,956
2021-03-28,Yolo,13320,194
2021-03-28,Yuba,5703,42
2021-03-27,Alameda,83555,1211
2021-03-27,Alpine,86,0
2021-03-27,Amador,3568,45
2021-03-27,Butte,11602,191
2021-03-27,Calaveras,1997,50
2021-03-27,Colusa,1885,14
2021-03-27,Contra Costa,65577,767
